source,target,r_max_vis_prob,r_max_vis_node,r_max_vis_prob_2,r_max_vis_node_2,r_average_vis_prob,r_median_vis_prob,r_stdev_vis_prob,r_max_vis_prob_rev,r_max_vis_node_rev,r_max_vis_prob_2_rev,r_max_vis_node_2_rev,r_average_vis_prob_rev,r_median_vis_prob_rev,r_stdev_vis_prob_rev,nb_max_vis_prob,nb_max_vis_node,nb_max_vis_prob_2,nb_max_vis_node_2,nb_average_vis_prob,nb_median_vis_prob,nb_stdev_vis_prob,nb_max_vis_prob_rev,nb_max_vis_node_rev,nb_max_vis_prob_2_rev,nb_max_vis_node_2_rev,nb_average_vis_prob_rev,nb_median_vis_prob_rev,nb_stdev_vis_prob_rev,lrv_max_vis_prob,lrv_max_vis_node,lrv_max_vis_prob_2,lrv_max_vis_node_2,lrv_average_vis_prob,lrv_median_vis_prob,lrv_stdev_vis_prob,lrv_max_vis_prob_rev,lrv_max_vis_node_rev,lrv_max_vis_prob_2_rev,lrv_max_vis_node_2_rev,lrv_average_vis_prob_rev,lrv_median_vis_prob_rev,lrv_stdev_vis_prob_rev
PRA,VIE,0.221,MIL,0.211,GEN,0.079,0.07,0.052,0.222,MIL,0.213,GEN,0.08,0.065,0.052,0.33,MIL,0.303,GEN,0.132,0.128,0.07,0.325,MIL,0.296,GEN,0.132,0.12,0.067,0.438,MIL,0.408,FRA,0.192,0.172,0.087,0.425,MIL,0.383,GEN,0.18,0.156,0.084
PRA,STO,0.848,COP,0.745,POZ,0.22,0.116,0.23,0.848,COP,0.688,BER,0.258,0.188,0.208,0.78,POZ,0.712,COP,0.221,0.129,0.215,0.737,POZ,0.714,HEL,0.266,0.201,0.193,0.744,POZ,0.715,COP,0.281,0.235,0.2,0.75,COP,0.711,HEL,0.298,0.243,0.187
PRA,RIG,0.859,POZ,0.688,KAU,0.166,0.087,0.192,0.855,POZ,0.732,KAU,0.195,0.13,0.182,0.824,POZ,0.627,KAU,0.186,0.116,0.18,0.777,POZ,0.606,KAU,0.235,0.188,0.161,0.792,POZ,0.633,KAU,0.258,0.225,0.173,0.767,POZ,0.606,KAU,0.249,0.196,0.158
PRA,ZAG,0.782,VIE,0.733,MIL,0.217,0.187,0.187,0.758,MIL,0.717,VIE,0.244,0.205,0.173,0.732,VIE,0.691,MIL,0.225,0.194,0.169,0.701,VIE,0.663,MIL,0.239,0.2,0.155,0.739,MIL,0.694,VIE,0.281,0.235,0.162,0.717,MIL,0.652,VIE,0.273,0.236,0.155
PRA,SOF,0.772,MIL,0.744,VIE,0.216,0.157,0.2,0.819,MIL,0.676,VIE,0.247,0.209,0.192,0.727,VIE,0.669,MIL,0.214,0.17,0.177,0.721,MIL,0.67,VIE,0.248,0.222,0.169,0.742,MIL,0.689,VIE,0.266,0.246,0.177,0.763,MIL,0.583,VIE,0.266,0.263,0.166
PRA,TAR,0.831,POZ,0.577,KAU,0.185,0.096,0.204,0.784,POZ,0.6,BER,0.223,0.156,0.19,0.818,POZ,0.609,KAU,0.192,0.123,0.187,0.754,POZ,0.556,KAU,0.239,0.194,0.167,0.789,POZ,0.612,KAU,0.258,0.218,0.184,0.726,POZ,0.619,COP,0.278,0.228,0.171
PRA,SIN,1.0,LIS,0.862,MAD,0.336,0.239,0.248,1.0,LIS,0.875,MAD,0.364,0.28,0.245,1.0,LIS,0.772,BIL,0.335,0.238,0.228,1.0,LIS,0.777,MAD,0.388,0.305,0.211,1.0,LIS,0.794,MAD,0.367,0.282,0.215,1.0,LIS,0.749,MAD,0.368,0.308,0.2
PRA,TIR,0.866,MIL,0.713,VIE,0.232,0.185,0.182,0.919,MIL,0.63,VIE,0.248,0.216,0.18,0.793,MIL,0.721,VIE,0.257,0.227,0.178,0.826,MIL,0.653,VIE,0.281,0.239,0.158,0.848,MIL,0.709,VIE,0.321,0.273,0.172,0.89,MIL,0.602,VIE,0.321,0.283,0.162
PRA,THE,1.0,SOF,0.805,MIL,0.296,0.227,0.251,1.0,SOF,0.833,MIL,0.33,0.29,0.236,1.0,SOF,0.766,VIE,0.284,0.219,0.238,1.0,SOF,0.769,MIL,0.329,0.294,0.213,1.0,SOF,0.842,MIL,0.367,0.341,0.229,1.0,SOF,0.838,MIL,0.36,0.332,0.226
PRA,SKO,0.819,SOF,0.784,MIL,0.291,0.211,0.236,0.837,MIL,0.762,SOF,0.314,0.245,0.212,0.815,SOF,0.768,VIE,0.282,0.221,0.216,0.792,SOF,0.756,MIL,0.315,0.274,0.19,0.828,MIL,0.82,SOF,0.367,0.326,0.202,0.837,SOF,0.807,MIL,0.352,0.317,0.194
VIE,ZAG,0.564,MIL,0.528,BUD,0.152,0.101,0.139,0.598,MIL,0.469,BUD,0.171,0.131,0.126,0.563,MIL,0.547,BUD,0.169,0.134,0.132,0.581,BUD,0.531,MIL,0.182,0.147,0.123,0.652,MIL,0.512,BUD,0.244,0.214,0.121,0.615,BUD,0.556,MIL,0.225,0.198,0.128
BRA,PRA,0.889,VIE,0.483,MIL,0.176,0.139,0.147,0.888,VIE,0.463,MIL,0.159,0.138,0.151,0.816,VIE,0.52,MIL,0.219,0.185,0.133,0.832,VIE,0.511,MIL,0.192,0.169,0.147,0.809,VIE,0.653,MIL,0.278,0.238,0.151,0.832,VIE,0.655,MIL,0.289,0.262,0.154
BRA,VIE,0.191,MIL,0.191,BUD,0.07,0.055,0.046,0.175,MIL,0.175,BUD,0.055,0.036,0.047,0.343,MIL,0.343,BUD,0.14,0.125,0.069,0.311,MIL,0.311,BUD,0.107,0.087,0.074,0.392,MIL,0.392,BUD,0.166,0.155,0.075,0.378,MIL,0.378,BUD,0.159,0.143,0.076
BRA,HEL,0.877,VIE,0.847,PRA,0.412,0.348,0.217,0.878,VIE,0.831,PRA,0.435,0.383,0.205,0.822,VIE,0.791,PRA,0.382,0.337,0.181,0.793,VIE,0.77,PRA,0.406,0.372,0.167,0.841,VIE,0.804,PRA,0.418,0.4,0.173,0.792,VIE,0.74,PRA,0.422,0.373,0.172
BRA,STO,0.885,COP,0.875,VIE,0.452,0.411,0.228,0.882,COP,0.873,VIE,0.471,0.403,0.209,0.836,VIE,0.804,PRA,0.416,0.344,0.201,0.803,VIE,0.775,PRA,0.451,0.424,0.175,0.849,VIE,0.794,PRA,0.456,0.433,0.189,0.819,VIE,0.78,COP,0.469,0.427,0.178
BRA,KAU,0.919,POZ,0.905,PRA,0.367,0.328,0.209,0.898,POZ,0.886,PRA,0.404,0.369,0.193,0.831,VIE,0.821,PRA,0.383,0.334,0.182,0.839,POZ,0.812,VIE,0.404,0.374,0.168,0.853,VIE,0.83,PRA,0.427,0.401,0.171,0.856,POZ,0.834,PRA,0.424,0.404,0.169
BRA,RIG,0.882,VIE,0.873,PRA,0.418,0.38,0.217,0.897,VIE,0.888,PRA,0.456,0.407,0.197,0.827,VIE,0.826,PRA,0.388,0.332,0.185,0.842,VIE,0.836,PRA,0.424,0.383,0.175,0.844,VIE,0.816,PRA,0.436,0.411,0.174,0.816,VIE,0.783,PRA,0.423,0.402,0.169
BRA,GEN,0.763,VIE,0.745,MIL,0.216,0.172,0.149,0.798,MIL,0.699,VIE,0.197,0.12,0.169,0.711,MIL,0.688,VIE,0.249,0.202,0.132,0.752,MIL,0.634,VIE,0.218,0.157,0.151,0.733,MIL,0.715,VIE,0.3,0.259,0.133,0.752,MIL,0.643,VIE,0.27,0.211,0.139
BRA,MAR,0.839,MIL,0.765,VIE,0.255,0.2,0.161,0.871,MIL,0.687,VIE,0.235,0.18,0.169,0.792,MIL,0.692,VIE,0.293,0.266,0.14,0.838,MIL,0.617,VIE,0.265,0.217,0.154,0.8,MIL,0.733,VIE,0.341,0.321,0.144,0.849,MIL,0.696,VIE,0.33,0.291,0.15
BRA,PAR,0.811,VIE,0.745,MIL,0.274,0.225,0.178,0.788,MIL,0.75,VIE,0.269,0.223,0.182,0.731,VIE,0.684,MIL,0.283,0.261,0.149,0.75,MIL,0.672,VIE,0.277,0.239,0.161,0.746,VIE,0.727,MIL,0.318,0.292,0.148,0.736,MIL,0.692,VIE,0.305,0.269,0.153
BRA,LJU,0.593,MIL,0.552,BUD,0.228,0.191,0.128,0.605,MIL,0.532,BUD,0.22,0.181,0.127,0.613,MIL,0.606,BUD,0.259,0.217,0.125,0.658,MIL,0.578,BUD,0.271,0.235,0.123,0.663,BUD,0.644,ZAG,0.334,0.301,0.125,0.723,MIL,0.618,VIE,0.359,0.329,0.119
BRA,ZAG,0.708,BUD,0.367,MIL,0.169,0.144,0.117,0.697,BUD,0.365,MIL,0.16,0.127,0.113,0.652,BUD,0.479,MIL,0.206,0.171,0.115,0.677,BUD,0.448,MIL,0.191,0.162,0.114,0.643,BUD,0.562,MIL,0.276,0.259,0.113,0.659,BUD,0.528,MIL,0.263,0.241,0.114
BRA,HAM,0.87,VIE,0.757,PRA,0.332,0.272,0.193,0.838,VIE,0.729,AMS,0.353,0.317,0.203,0.813,VIE,0.754,PRA,0.349,0.311,0.163,0.768,VIE,0.685,MIL,0.357,0.327,0.161,0.832,VIE,0.775,PRA,0.396,0.379,0.158,0.786,VIE,0.717,PRA,0.401,0.373,0.166
BRA,BUC,0.842,BUD,0.412,ZAG,0.161,0.111,0.14,0.814,BUD,0.392,ZAG,0.174,0.136,0.13,0.792,BUD,0.446,SOF,0.207,0.163,0.128,0.787,BUD,0.447,MIL,0.221,0.177,0.125,0.81,BUD,0.566,MIL,0.284,0.245,0.13,0.779,BUD,0.604,SOF,0.29,0.252,0.132
BRA,SOF,0.695,BUD,0.486,ZAG,0.184,0.146,0.144,0.664,BUD,0.465,MIL,0.187,0.157,0.141,0.646,BUD,0.491,MIL,0.197,0.161,0.13,0.656,BUD,0.484,MIL,0.197,0.167,0.131,0.628,BUD,0.563,MIL,0.252,0.245,0.134,0.597,MIL,0.547,VIE,0.273,0.276,0.134
