source,target,r_min_hops,r_max_hops,r_mean_hops,r_q1_hops,r_q2_hops,r_q3_hops,r_min_hops_rev,r_max_hops_rev,r_mean_hops_rev,r_q1_hops_rev,r_q2_hops_rev,r_q3_hops_rev,nb_min_hops,nb_max_hops,nb_mean_hops,nb_q1_hops,nb_q2_hops,nb_q3_hops,nb_min_hops_rev,nb_max_hops_rev,nb_mean_hops_rev,nb_q1_hops_rev,nb_q2_hops_rev,nb_q3_hops_rev,lrv_min_hops,lrv_max_hops,lrv_mean_hops,lrv_q1_hops,lrv_q2_hops,lrv_q3_hops,lrv_min_hops_rev,lrv_max_hops_rev,lrv_mean_hops_rev,lrv_q1_hops_rev,lrv_q2_hops_rev,lrv_q3_hops_rev
PRA,VIE,1,304,11.594,1,1,1,1,349,11.662,1,1,1,1,150,10.852,1,1,14,1,188,11.238,1,1,13,1,67,10.563,1,1,20,1,72,9.765,1,1,18
PRA,STO,5,306,22.625,9,14,25,5,444,31.781,9,16,33,5,149,14.047,6,8,15,5,215,18.924,6,8,21,5,71,14.254,6,8,19,5,77,15.318,6,8,21
PRA,RIG,3,197,18.521,3,8,22,3,447,25.168,3,9,26,3,136,12.539,3,7,15,3,239,17.851,3,8,21,3,66,13.509,5,9,19,3,80,13.115,3,8,18
PRA,ZAG,4,209,23.586,6,13,31,4,269,29.975,6,13,40,4,128,14.881,4,9,20,4,152,16.601,4,9,23,4,67,14.307,4,12,21,4,59,13.759,4,12,19
PRA,SOF,4,174,22.164,7,13,27,4,253,28.121,7,15,37,4,124,13.457,5,8,17,4,155,16.949,5,9,22,4,60,13.334,5,9,19,4,57,13.134,5,9,19
PRA,TAR,4,294,20.033,6,11,22,4,468,27.418,6,12,29,4,176,12.805,4,6,14,4,221,17.892,4,8,20,4,71,13.359,5,8,18,4,72,14.521,6,9,20
PRA,SIN,6,334,39.858,16,29,52,6,318,49.457,17,33,64,6,171,23.397,10,17,30,6,259,30.525,12,22,40,6,75,18.783,10,15,25,6,74,18.825,11,16,25
PRA,TIR,3,233,26.821,7,18,37,3,252,29.836,7,18,41,3,164,18.698,7,14,25,3,184,21.167,7,14,28,3,64,16.927,8,15,23,3,64,16.613,8,15,23
PRA,THE,5,191,32.407,13,23,41,5,242,38.922,14,27,52,5,143,18.848,8,13,24,5,181,23.791,8,16,33,5,71,18.734,9,17,26,5,70,18.219,9,16,25
PRA,SKO,5,252,32.392,12,23,41,5,369,36.836,13,24,47,5,142,19.078,7,14,25,5,217,22.702,8,15,30,5,65,19.127,9,17,27,5,60,18.001,9,16,25
VIE,ZAG,3,321,17.81,3,6,18,3,401,22.807,3,6,23,3,190,12.299,3,6,14,3,256,13.992,3,5,15,3,63,12.994,3,7,19,3,62,11.968,3,7,17
