source,target,longest_simple_approx
AMS,ATH,32
AMS,BEL,29
AMS,BER,31
AMS,BIL,28
AMS,BRA,30
AMS,BRU,31
AMS,BUC,30
AMS,COP,29
AMS,COR,31
AMS,DUB,30
AMS,FRA,31
AMS,GEN,31
AMS,HAM,31
AMS,HEL,28
AMS,IST,31
AMS,KAU,31
AMS,KIE,23
AMS,LIS,30
AMS,LJU,31
AMS,LON,31
AMS,LUX,30
AMS,MAD,31
AMS,MAR,31
AMS,MIL,22
AMS,NIC,33
AMS,OSL,28
AMS,PAR,28
AMS,POD,31
AMS,POR,31
AMS,POZ,22
AMS,PRA,21
AMS,RIG,30
AMS,SIN,31
AMS,SKO,29
AMS,SOF,29
AMS,STO,29
AMS,TAR,29
AMS,THE,31
AMS,TIR,30
AMS,VIE,31
AMS,BUD,29
AMS,ZAG,30
ATH,BEL,33
ATH,BER,35
ATH,BIL,35
ATH,BRA,32
ATH,BRU,35
ATH,BUC,34
ATH,COP,33
ATH,COR,35
ATH,DUB,34
ATH,FRA,33
ATH,GEN,33
ATH,HAM,35
ATH,HEL,32
ATH,IST,3
ATH,KAU,35
ATH,KIE,34
ATH,LIS,35
ATH,LJU,33
ATH,LON,35
ATH,LUX,34
ATH,MAD,33
ATH,MAR,33
ATH,MIL,32
ATH,NIC,1
ATH,OSL,33
ATH,PAR,32
ATH,POD,33
ATH,POR,34
ATH,POZ,33
ATH,PRA,32
ATH,RIG,34
ATH,SIN,36
ATH,SKO,34
ATH,SOF,3
ATH,STO,33
ATH,TAR,33
ATH,THE,1
ATH,TIR,33
ATH,VIE,31
ATH,BUD,33
ATH,ZAG,32
BEL,BER,32
BEL,BIL,34
BEL,BRA,31
BEL,BRU,34
BEL,BUC,30
BEL,COP,32
BEL,COR,34
BEL,DUB,33
BEL,FRA,32
BEL,GEN,31
BEL,HAM,32
BEL,HEL,30
BEL,IST,32
BEL,KAU,32
BEL,KIE,33
BEL,LIS,34
BEL,LJU,31
BEL,LON,34
BEL,LUX,33
BEL,MAD,31
BEL,MAR,31
BEL,MIL,29
BEL,NIC,34
BEL,OSL,32
BEL,PAR,31
BEL,POD,32
BEL,POR,33
BEL,POZ,32
BEL,PRA,29
BEL,RIG,31
BEL,SIN,35
BEL,SKO,31
BEL,SOF,30
BEL,STO,32
BEL,TAR,30
BEL,THE,32
BEL,TIR,31
BEL,VIE,30
BEL,BUD,29
BEL,ZAG,31
BER,BIL,34
BER,BRA,33
BER,BRU,34
BER,BUC,33
BER,COP,31
BER,COR,34
BER,DUB,33
BER,FRA,34
BER,GEN,34
BER,HAM,31
BER,HEL,29
BER,IST,34
BER,KAU,31
BER,KIE,26
BER,LIS,34
BER,LJU,34
BER,LON,34
BER,LUX,33
BER,MAD,34
BER,MAR,34
BER,MIL,32
BER,NIC,36
BER,OSL,31
BER,PAR,31
BER,POD,34
BER,POR,34
BER,POZ,25
BER,PRA,31
BER,RIG,30
BER,SIN,34
BER,SKO,33
BER,SOF,32
BER,STO,31
BER,TAR,29
BER,THE,34
BER,TIR,33
BER,VIE,34
BER,BUD,32
BER,ZAG,33
BIL,BRA,34
BIL,BRU,34
BIL,BUC,33
BIL,COP,34
BIL,COR,34
BIL,DUB,33
BIL,FRA,34
BIL,GEN,34
BIL,HAM,31
BIL,HEL,32
BIL,IST,34
BIL,KAU,33
BIL,KIE,35
BIL,LIS,30
BIL,LJU,34
BIL,LON,34
BIL,LUX,33
BIL,MAD,29
BIL,MAR,28
BIL,MIL,34
BIL,NIC,36
BIL,OSL,34
BIL,PAR,31
BIL,POD,34
BIL,POR,31
BIL,POZ,34
BIL,PRA,25
BIL,RIG,32
BIL,SIN,31
BIL,SKO,35
BIL,SOF,32
BIL,STO,34
BIL,TAR,31
BIL,THE,34
BIL,TIR,35
BIL,VIE,29
BIL,BUD,33
BIL,ZAG,33
BRA,BRU,34
BRA,BUC,31
BRA,COP,32
BRA,COR,34
BRA,DUB,33
BRA,FRA,32
BRA,GEN,31
BRA,HAM,33
BRA,HEL,30
BRA,IST,31
BRA,KAU,33
BRA,KIE,33
BRA,LIS,34
BRA,LJU,30
BRA,LON,34
BRA,LUX,33
BRA,MAD,31
BRA,MAR,31
BRA,MIL,24
BRA,NIC,33
BRA,OSL,32
BRA,PAR,31
BRA,POD,30
BRA,POR,33
BRA,POZ,32
BRA,PRA,30
BRA,RIG,32
BRA,SIN,35
BRA,SKO,31
BRA,SOF,29
BRA,STO,32
BRA,TAR,31
BRA,THE,31
BRA,TIR,30
BRA,VIE,31
BRA,BUD,31
BRA,ZAG,29
BRU,BUC,33
BRU,COP,34
BRU,COR,34
BRU,DUB,33
BRU,FRA,30
BRU,GEN,31
BRU,HAM,34
BRU,HEL,32
BRU,IST,34
BRU,KAU,34
BRU,KIE,35
BRU,LIS,34
BRU,LJU,34
BRU,LON,34
BRU,LUX,31
BRU,MAD,34
BRU,MAR,34
BRU,MIL,34
BRU,NIC,36
BRU,OSL,34
BRU,PAR,31
BRU,POD,34
BRU,POR,34
BRU,POZ,34
BRU,PRA,25
BRU,RIG,33
BRU,SIN,35
BRU,SKO,35
BRU,SOF,32
BRU,STO,34
BRU,TAR,32
BRU,THE,34
BRU,TIR,35
BRU,VIE,34
BRU,BUD,33
BRU,ZAG,33
BUC,COP,31
BUC,COR,33
BUC,DUB,32
BUC,FRA,31
BUC,GEN,31
BUC,HAM,33
BUC,HEL,30
BUC,IST,33
BUC,KAU,33
BUC,KIE,32
BUC,LIS,33
BUC,LJU,32
BUC,LON,33
BUC,LUX,32
BUC,MAD,31
BUC,MAR,31
BUC,MIL,30
BUC,NIC,35
BUC,OSL,31
BUC,PAR,30
BUC,POD,32
BUC,POR,32
BUC,POZ,31
BUC,PRA,30
BUC,RIG,32
BUC,SIN,34
BUC,SKO,31
BUC,SOF,31
BUC,STO,31
BUC,TAR,31
BUC,THE,33
BUC,TIR,32
BUC,VIE,30
BUC,BUD,31
BUC,ZAG,31
COP,COR,34
COP,DUB,33
COP,FRA,32
COP,GEN,32
COP,HAM,30
COP,HEL,29
COP,IST,32
COP,KAU,26
COP,KIE,26
COP,LIS,34
COP,LJU,32
COP,LON,34
COP,LUX,33
COP,MAD,32
COP,MAR,32
COP,MIL,32
COP,NIC,34
COP,OSL,31
COP,PAR,31
COP,POD,32
COP,POR,33
COP,POZ,25
COP,PRA,31
COP,RIG,27
COP,SIN,35
COP,SKO,33
COP,SOF,30
COP,STO,30
COP,TAR,28
COP,THE,32
COP,TIR,33
COP,VIE,32
COP,BUD,31
COP,ZAG,31
COR,DUB,31
COR,FRA,34
COR,GEN,34
COR,HAM,34
COR,HEL,32
COR,IST,34
COR,KAU,34
COR,KIE,35
COR,LIS,34
COR,LJU,34
COR,LON,30
COR,LUX,33
COR,MAD,34
COR,MAR,34
COR,MIL,34
COR,NIC,36
COR,OSL,34
COR,PAR,31
COR,POD,34
COR,POR,34
COR,POZ,34
COR,PRA,25
COR,RIG,33
COR,SIN,35
COR,SKO,35
COR,SOF,32
COR,STO,34
COR,TAR,32
COR,THE,34
COR,TIR,35
COR,VIE,34
COR,BUD,33
COR,ZAG,33
DUB,FRA,33
DUB,GEN,33
DUB,HAM,33
DUB,HEL,31
DUB,IST,33
DUB,KAU,33
DUB,KIE,34
DUB,LIS,33
DUB,LJU,33
DUB,LON,31
DUB,LUX,32
DUB,MAD,33
DUB,MAR,33
DUB,MIL,33
DUB,NIC,35
DUB,OSL,33
DUB,PAR,30
DUB,POD,33
DUB,POR,33
DUB,POZ,33
DUB,PRA,24
DUB,RIG,32
DUB,SIN,34
DUB,SKO,34
DUB,SOF,31
DUB,STO,33
DUB,TAR,31
DUB,THE,33
DUB,TIR,34
