destination,mean_hops,std_hops,min_hops,max_hops,packets
TIR,5.539763113367174,8.231096947909272,1,49,591
SOF,6.220398593200469,7.472227992095777,2,44,853
ZAG,6.868298368298368,7.659121480933326,2,48,858
LJU,6.936079545454546,9.140951466939601,1,49,704
GEN,8.289122137404581,9.862963530858089,1,51,1048
THE,8.29080118694362,6.961850576754357,3,50,337
BEL,8.3024,7.514023838130939,3,54,625
MAR,8.625882352941176,11.09271253031813,1,51,850
BUC,8.668067226890756,6.838096850242446,3,47,476
IST,8.882951653944021,6.9194963296238505,3,46,393
VIE,8.991894630192503,9.071032038651538,1,48,987
POD,9.175824175824175,8.017736848650875,3,49,273
SKO,9.225225225225225,7.172186876323932,3,45,444
ATH,9.324723247232471,7.642719409919382,4,54,271
PAR,9.399284862932062,7.889828364550855,2,45,839
BUD,9.418842224744608,8.286337593535519,3,48,881
NIC,10.14396887159533,6.263871191406554,5,40,257
FRA,10.256900212314225,7.948202146097121,2,41,942
PRA,10.298288508557457,7.863848887166245,2,41,818
BRA,10.462932454695222,9.221145027499155,2,45,607
AMS,10.758256274768824,6.741378455863599,3,37,757
MAD,10.998550724637681,10.119216798954284,2,53,690
BIL,11.414847161572052,9.437357134960912,3,45,687
BRU,11.75,8.149358925596761,3,44,668
POZ,11.980072463768115,7.10617979642345,3,45,552
POR,12.293774319066149,9.392504677681792,4,48,514
LIS,12.367556468172484,9.861589081060425,3,49,487
LON,12.37719298245614,8.210808399712715,3,40,570
SIN,12.53183520599251,10.081777866359966,4,50,267
DUB,12.600393700787402,7.9908756925125966,4,43,508
HAM,12.651821862348179,6.831119753428122,4,47,494
COR,12.980728051391862,8.288536826530914,3,47,467
LUX,13.311270125223613,8.898537496990771,3,45,559
COP,13.621739130434783,6.2835504033211595,5,41,460
BER,14.213991769547325,7.138798076373985,4,41,486
HEL,14.691441441441441,5.957569089299603,6,44,444
KIE,15.28630705394191,8.25457117501032,4,40,241
STO,15.485981308411215,6.6922065883725885,7,44,321
OSL,15.595317725752508,7.56731959827222,6,45,299
RIG,15.690176322418136,6.962818070672477,5,44,397
TAR,15.785894206549118,6.744491363104718,6,46,397
KAU,15.944162436548224,7.516609623864588,4,46,394
