destination,mean_hops,std_hops,min_hops,max_hops,packets
TIR,4.039045553145336,9.04978963095382,1,76,461
LJU,4.942505133470226,11.001623003631753,1,99,487
SOF,5.714285714285714,6.969894674434405,2,57,357
MAR,7.654028436018957,20.56727996354203,1,204,633
GEN,8.056768558951966,19.10732676204494,1,169,687
ZAG,8.876010781671159,13.323094321784312,2,118,371
BEL,10.081272084805654,10.30508652442051,3,89,283
VIE,10.178637200736649,24.783915958213896,1,192,543
IST,10.420118343195266,8.147011503348883,3,48,169
BUD,10.831831831831831,16.128852644729044,3,143,333
SKO,11.06637168141593,9.113348282810211,3,48,226
POD,11.840277777777779,12.262557732588325,3,66,144
THE,12.225130890052355,11.540350192888033,3,74,191
BUC,12.227642276422765,10.933511555257278,3,65,246
BRA,12.809859154929578,19.754276805108272,2,117,284
FRA,13.649874055415617,20.12244210593128,2,134,397
PAR,13.820051413881748,20.403727392662013,2,163,389
MAD,14.232026143790849,26.762971086651376,2,245,306
ATH,14.673469387755102,11.398868105465455,4,86,98
PRA,15.002881844380404,24.833915008199053,2,223,347
POR,15.239263803680982,18.762916812446186,4,140,163
LIS,15.865853658536585,22.369001959441796,3,167,164
NIC,16.58823529411765,10.907681176607566,5,56,68
BIL,16.71326164874552,23.384050942161203,3,131,279
POZ,18.344660194174757,21.796112720824805,3,144,206
BRU,18.741818181818182,23.50200525997025,3,221,275
AMS,18.94719471947195,20.074543845683003,3,160,303
LUX,19.116071428571427,24.789198949670126,3,213,224
LON,20.285123966942148,24.599882957314204,3,186,242
COP,20.691275167785236,14.049241938449493,5,67,149
BER,20.833333333333332,18.98793476570495,4,130,144
HAM,20.943502824858758,16.96414214759073,4,106,177
SIN,23.0,26.618647241217595,4,151,105
KIE,26.150442477876105,25.85056485541537,4,133,113
DUB,26.165745856353592,33.483320464159114,4,249,181
HEL,26.34375,18.398838349313433,7,88,96
COR,26.385093167701864,28.102311328606998,3,142,161
RIG,27.635416666666668,19.411186525464867,5,95,96
KAU,28.07017543859649,26.64145276129624,4,144,114
STO,32.229166666666664,21.56892013922399,8,137,96
TAR,32.47422680412371,19.317260474436317,6,85,97
OSL,33.883495145631066,26.375665811638918,6,133,103
