Hop Count Analysis: GEANT
Source: MIL
Variant: random
============================================================

Destination      Mean      Std    Min    Max  Packets
------------------------------------------------------------
TIR              4.04     9.05      1     76      461
LJU              4.94    11.00      1     99      487
SOF              5.71     6.97      2     57      357
MAR              7.65    20.57      1    204      633
GEN              8.06    19.11      1    169      687
ZAG              8.88    13.32      2    118      371
BEL             10.08    10.31      3     89      283
VIE             10.18    24.78      1    192      543
IST             10.42     8.15      3     48      169
BUD             10.83    16.13      3    143      333
SKO             11.07     9.11      3     48      226
POD             11.84    12.26      3     66      144
THE             12.23    11.54      3     74      191
BUC             12.23    10.93      3     65      246
BRA             12.81    19.75      2    117      284
FRA             13.65    20.12      2    134      397
PAR             13.82    20.40      2    163      389
MAD             14.23    26.76      2    245      306
ATH             14.67    11.40      4     86       98
PRA             15.00    24.83      2    223      347
POR             15.24    18.76      4    140      163
LIS             15.87    22.37      3    167      164
NIC             16.59    10.91      5     56       68
BIL             16.71    23.38      3    131      279
POZ             18.34    21.80      3    144      206
BRU             18.74    23.50      3    221      275
AMS             18.95    20.07      3    160      303
LUX             19.12    24.79      3    213      224
LON             20.29    24.60      3    186      242
COP             20.69    14.05      5     67      149
BER             20.83    18.99      4    130      144
HAM             20.94    16.96      4    106      177
SIN             23.00    26.62      4    151      105
KIE             26.15    25.85      4    133      113
DUB             26.17    33.48      4    249      181
HEL             26.34    18.40      7     88       96
COR             26.39    28.10      3    142      161
RIG             27.64    19.41      5     95       96
KAU             28.07    26.64      4    144      114
STO             32.23    21.57      8    137       96
TAR             32.47    19.32      6     85       97
OSL             33.88    26.38      6    133      103
