source,target,lrv_tput,shortest,max_flow,longest,lrv_hops,node_conn,lrv_max_vis_prob,lrv_max_vis_node,lrv_mf_eff,lrv_nc_eff,lrv_inflation,lrv_q2_hops
PRA,VIE,1.777,1,3,31,10.563,2,0.438,MIL,0.59,1.0,10.56,1
PRA,STO,1.08,5,2,31,14.254,2,0.744,POZ,0.54,0.28,2.85,8
PRA,RIG,1.394,3,2,29,13.509,2,0.792,POZ,0.7,0.29,4.5,9
PRA,ZAG,1.431,4,3,30,14.307,2,0.739,MIL,0.48,0.37,3.58,12
PRA,SOF,1.438,4,3,29,13.334,2,0.742,MIL,0.48,0.37,3.33,9
PRA,TAR,1.39,4,2,28,13.359,2,0.789,POZ,0.69,0.29,3.34,8
PRA,SIN,0.547,6,1,26,18.783,1,1.0,LIS,0.55,-1.0,3.13,15
PRA,TIR,1.168,3,2,30,16.927,2,0.848,MIL,0.58,0.18,5.64,15
PRA,THE,0.885,5,2,31,18.734,1,1.0,SOF,0.44,-1.0,3.75,17
PRA,SKO,1.029,5,2,29,19.127,2,0.828,MIL,0.51,0.18,3.83,17
VIE,ZAG,1.877,3,3,28,12.994,2,0.652,MIL,0.63,0.65,4.33,7
BRA,PRA,1.454,2,2,30,14.928,2,0.809,VIE,0.73,0.28,7.46,12
BRA,VIE,1.645,1,2,31,9.623,2,0.392,MIL,0.82,1.0,9.62,1
BRA,HEL,1.033,6,2,30,20.915,2,0.841,VIE,0.52,0.16,3.49,19
BRA,STO,0.783,7,2,32,22.991,2,0.849,VIE,0.39,0.12,3.28,22
BRA,KAU,0.982,4,2,33,21.785,2,0.853,VIE,0.49,0.14,5.45,21
BRA,RIG,0.951,5,2,32,22.133,2,0.844,VIE,0.48,0.15,4.43,21
BRA,GEN,1.566,3,2,31,15.961,2,0.733,MIL,0.78,0.42,5.32,15
BRA,MAR,1.351,3,2,31,18.162,2,0.8,MIL,0.68,0.27,6.05,16
BRA,PAR,1.416,4,2,31,16.347,2,0.746,VIE,0.71,0.36,4.09,15
BRA,LJU,1.523,3,2,30,18.732,2,0.663,BUD,0.76,0.51,6.24,14
BRA,ZAG,1.72,2,2,29,15.266,2,0.643,BUD,0.86,0.61,7.63,7
BRA,HAM,1.114,5,2,33,20.251,2,0.832,VIE,0.56,0.19,4.05,18
BRA,BUC,1.392,2,2,31,16.047,2,0.81,BUD,0.7,0.26,8.02,9
BRA,SOF,1.732,3,2,29,13.653,2,0.628,BUD,0.87,0.64,4.55,6
BRA,TAR,0.949,6,2,31,22.323,2,0.848,VIE,0.47,0.14,3.72,21
BRA,LIS,0.894,5,2,34,22.384,2,0.829,MIL,0.45,0.15,4.48,21
BRA,POR,0.905,6,2,33,22.604,2,0.824,MIL,0.45,0.16,3.77,21
BRA,COP,1.127,5,2,32,20.329,2,0.832,VIE,0.56,0.19,4.07,19
BRA,LON,1.128,5,2,34,19.805,2,0.783,VIE,0.56,0.24,3.96,18
BRA,IST,1.007,4,2,31,19.578,1,1.0,SOF,0.5,-1.0,4.89,12
BRA,DUB,0.961,6,2,33,22.213,2,0.846,PAR,0.48,0.15,3.7,20
BRA,SIN,0.517,6,1,35,24.517,1,1.0,LIS,0.52,-1.0,4.09,22
BRA,MIL,1.893,2,2,24,10.491,2,0.527,VIE,0.95,0.9,5.25,7
BRA,BRU,1.238,5,2,34,19.08,2,0.773,VIE,0.62,0.28,3.82,18
BRA,LUX,1.089,4,2,33,21.212,2,0.793,VIE,0.54,0.23,5.3,19
BRA,TIR,1.281,3,2,30,18.851,2,0.72,MIL,0.64,0.36,6.28,14
BRA,POZ,1.162,3,2,32,17.98,2,0.837,VIE,0.58,0.19,5.99,17
BRA,THE,1.009,4,2,31,18.445,1,1.0,SOF,0.5,-1.0,4.61,11
BRA,COR,0.975,5,2,34,22.569,2,0.841,PAR,0.49,0.16,4.51,21
BRA,FRA,1.511,3,2,32,16.197,2,0.757,VIE,0.76,0.37,5.4,15
BRA,MAD,1.155,4,2,31,20.291,2,0.814,MIL,0.58,0.21,5.07,19
BRA,BUD,1.67,1,2,31,11.205,2,0.401,VIE,0.83,1.0,11.21,1
BRA,POD,0.771,3,1,30,18.848,1,1.0,ZAG,0.77,-1.0,6.28,13
BRA,SKO,1.156,4,2,31,18.193,2,0.807,SOF,0.58,0.22,4.55,12
BRA,OSL,0.767,6,2,32,23.132,2,0.845,VIE,0.38,0.12,3.86,21
BRA,KIE,0.71,4,1,33,24.591,1,1.0,POZ,0.71,-1.0,6.15,22
BRA,NIC,0.704,6,1,33,20.182,1,1.0,SOF,0.7,-1.0,3.36,13
HEL,PRA,1.337,4,2,29,14.08,2,0.689,COP,0.67,0.42,3.52,8
HEL,VIE,1.002,5,2,31,17.137,2,0.708,COP,0.5,0.29,3.43,15
HEL,STO,1.852,1,2,31,9.697,2,0.46,COP,0.93,1.0,9.7,1
HEL,KAU,1.881,3,2,29,13.469,2,0.531,RIG,0.94,0.88,4.49,3
HEL,RIG,1.88,2,2,30,13.346,2,0.532,TAR,0.94,0.88,6.67,2
HEL,MAR,0.869,6,2,31,18.551,2,0.737,COP,0.43,0.23,3.09,16
HEL,PAR,1.125,5,2,29,14.689,2,0.743,COP,0.56,0.29,2.94,11
HEL,LJU,0.677,7,2,31,22.594,2,0.821,MIL,0.34,0.12,3.23,21
HEL,ZAG,0.789,8,2,30,20.204,2,0.777,MIL,0.39,0.18,2.53,19
HEL,SOF,0.773,8,2,29,18.975,2,0.769,MIL,0.39,0.18,2.37,17
HEL,TAR,1.872,1,2,31,13.282,2,0.466,KAU,0.94,1.0,13.28,1
HEL,LIS,0.635,8,2,32,22.17,2,0.775,COP,0.32,0.14,2.77,18
HEL,POR,0.648,7,2,31,22.332,2,0.787,AMS,0.32,0.14,3.19,18
HEL,LON,0.924,4,2,32,17.751,2,0.792,AMS,0.46,0.19,4.44,13
HEL,IST,0.545,9,2,31,26.299,1,1.0,SOF,0.27,-1.0,2.92,25
HEL,SIN,0.411,9,1,33,25.167,1,1.0,LIS,0.41,-1.0,2.8,21
HEL,MIL,1.108,6,2,30,14.984,2,0.72,COP,0.55,0.31,2.5,14
HEL,LUX,0.964,5,2,31,19.091,2,0.766,AMS,0.48,0.23,3.82,14
HEL,TIR,0.652,7,2,31,22.634,2,0.864,MIL,0.33,0.09,3.23,21
HEL,POZ,2.225,3,3,28,10.312,2,0.551,COP,0.74,1.0,3.44,4
HEL,THE,0.541,9,2,31,25.528,1,1.0,SOF,0.27,-1.0,2.84,24
HEL,MAD,0.748,7,2,31,19.385,2,0.75,AMS,0.37,0.19,2.77,16
HEL,POD,0.447,9,1,31,27.684,1,1.0,ZAG,0.45,-1.0,3.08,26
HEL,SKO,0.605,9,2,31,25.288,2,0.836,MIL,0.3,0.1,2.81,24
HEL,OSL,1.857,2,2,30,9.858,2,0.538,STO,0.93,0.86,4.93,2
HEL,KIE,0.773,4,1,29,20.353,1,1.0,POZ,0.77,-1.0,5.09,7
HEL,NIC,0.398,11,1,33,28.086,1,1.0,SOF,0.4,-1.0,2.55,26
STO,VIE,0.958,6,2,32,18.68,2,0.769,COP,0.48,0.22,3.11,17
STO,ZAG,0.715,9,2,31,22.133,2,0.787,MIL,0.36,0.15,2.46,20
STO,TAR,1.53,2,2,30,15.599,2,0.758,HEL,0.77,0.37,7.8,4
STO,TIR,0.591,8,2,33,25.396,2,0.874,MIL,0.3,0.07,3.17,24
STO,THE,0.495,10,2,32,28.399,1,1.0,SOF,0.25,-1.0,2.84,26
KAU,PRA,1.295,2,2,30,12.262,2,0.817,POZ,0.65,0.24,6.13,9
KAU,VIE,0.995,3,2,34,16.287,2,0.848,POZ,0.5,0.15,5.43,13
KAU,STO,1.163,4,2,28,15.349,2,0.725,HEL,0.58,0.32,3.84,6
KAU,RIG,1.522,1,2,31,10.008,2,0.343,HEL,0.76,1.0,10.01,1
KAU,MAR,0.82,5,2,34,19.373,2,0.812,POZ,0.41,0.15,3.87,17
KAU,PAR,1.064,5,2,30,16.111,2,0.791,POZ,0.53,0.22,3.22,13
KAU,LJU,0.69,5,2,34,22.713,2,0.849,POZ,0.34,0.1,4.54,21
KAU,ZAG,0.767,6,2,33,20.045,2,0.854,POZ,0.38,0.11,3.34,19
KAU,SOF,0.759,6,2,32,19.264,2,0.85,POZ,0.38,0.11,3.21,18
KAU,TAR,1.528,2,2,30,10.376,2,0.654,RIG,0.76,0.53,5.19,2
KAU,LIS,0.621,7,2,33,23.168,2,0.812,POZ,0.31,0.12,3.31,20
KAU,POR,0.596,7,2,34,23.979,2,0.819,POZ,0.3,0.11,3.43,21
KAU,LON,0.883,5,2,33,19.908,2,0.79,POZ,0.44,0.19,3.98,16
KAU,SIN,0.383,8,1,34,26.981,1,1.0,LIS,0.38,-1.0,3.37,23
KAU,MIL,1.059,4,2,31,15.455,2,0.831,POZ,0.53,0.18,3.86,14
KAU,LUX,0.9,4,2,33,21.125,2,0.801,POZ,0.45,0.18,5.28,17
KAU,TIR,0.693,5,2,33,23.618,2,0.858,MIL,0.35,0.1,4.72,22
KAU,POZ,1.642,1,2,31,7.831,2,0.391,HEL,0.82,1.0,7.83,1
KAU,THE,0.556,7,2,34,25.807,1,1.0,SOF,0.28,-1.0,3.69,24
KAU,MAD,0.731,6,2,34,20.987,2,0.815,POZ,0.37,0.14,3.5,18
KAU,POD,0.451,7,1,34,28.07,1,1.0,ZAG,0.45,-1.0,4.01,26
KAU,SKO,0.596,7,2,32,25.739,2,0.868,POZ,0.3,0.08,3.68,24
KAU,OSL,1.138,4,2,29,15.389,2,0.732,HEL,0.57,0.3,3.85,5
KAU,KIE,0.973,2,1,32,22.491,1,1.0,POZ,0.97,-1.0,11.25,13
KAU,NIC,0.414,9,1,36,28.929,1,1.0,SOF,0.41,-1.0,3.21,27
