source,target,r_max_vis_prob,r_max_vis_node,r_max_vis_prob_2,r_max_vis_node_2,r_average_vis_prob,r_median_vis_prob,r_stdev_vis_prob,r_max_vis_prob_rev,r_max_vis_node_rev,r_max_vis_prob_2_rev,r_max_vis_node_2_rev,r_average_vis_prob_rev,r_median_vis_prob_rev,r_stdev_vis_prob_rev,nb_max_vis_prob,nb_max_vis_node,nb_max_vis_prob_2,nb_max_vis_node_2,nb_average_vis_prob,nb_median_vis_prob,nb_stdev_vis_prob,nb_max_vis_prob_rev,nb_max_vis_node_rev,nb_max_vis_prob_2_rev,nb_max_vis_node_2_rev,nb_average_vis_prob_rev,nb_median_vis_prob_rev,nb_stdev_vis_prob_rev,lrv_max_vis_prob,lrv_max_vis_node,lrv_max_vis_prob_2,lrv_max_vis_node_2,lrv_average_vis_prob,lrv_median_vis_prob,lrv_stdev_vis_prob,lrv_max_vis_prob_rev,lrv_max_vis_node_rev,lrv_max_vis_prob_2_rev,lrv_max_vis_node_2_rev,lrv_average_vis_prob_rev,lrv_median_vis_prob_rev,lrv_stdev_vis_prob_rev
SEA,SLC,0.573,PAO,0.405,SAN,0.316,0.281,0.096,0.609,PAO,0.425,SAN,0.301,0.258,0.116,0.501,PAO,0.43,CMI,0.337,0.324,0.082,0.548,PAO,0.402,CMI,0.312,0.29,0.103,0.552,PAO,0.515,SAN,0.393,0.389,0.091,0.537,PAO,0.512,HOU,0.414,0.435,0.075
PAO,SEA,0.335,SAN,0.183,HOU,0.154,0.135,0.059,0.335,SAN,0.175,HOU,0.148,0.127,0.06,0.398,SAN,0.265,CMI,0.219,0.2,0.067,0.398,SAN,0.269,SLC,0.224,0.204,0.065,0.463,SAN,0.38,SLC,0.313,0.306,0.065,0.456,SAN,0.382,CMI,0.32,0.314,0.061
PAO,SAN,0.325,SEA,0.182,HOU,0.15,0.129,0.058,0.321,SEA,0.181,HOU,0.151,0.131,0.057,0.408,SEA,0.276,HOU,0.221,0.204,0.068,0.402,SEA,0.28,HOU,0.223,0.206,0.068,0.475,SEA,0.376,SLC,0.307,0.301,0.07,0.469,SEA,0.421,HOU,0.336,0.333,0.061
PAO,SLC,0.237,HOU,0.224,SAN,0.178,0.173,0.031,0.22,SAN,0.22,HOU,0.163,0.152,0.036,0.327,HOU,0.319,BOU,0.259,0.256,0.05,0.324,BOU,0.323,SEA,0.245,0.232,0.062,0.439,SAN,0.428,SEA,0.339,0.348,0.067,0.422,HOU,0.385,SAN,0.338,0.359,0.057
PAO,PIT,0.488,HOU,0.471,SLC,0.373,0.373,0.072,0.509,CMI,0.502,SEA,0.356,0.34,0.101,0.503,HOU,0.484,SLC,0.364,0.364,0.085,0.519,CMI,0.471,HOU,0.353,0.34,0.105,0.549,HOU,0.536,SLC,0.422,0.438,0.101,0.536,CMI,0.51,HOU,0.413,0.423,0.087
PAO,PRI,0.575,SLC,0.536,ARB,0.43,0.412,0.088,0.555,SLC,0.514,HOU,0.414,0.405,0.084,0.57,SLC,0.541,HOU,0.424,0.405,0.099,0.544,SLC,0.542,PIT,0.423,0.432,0.094,0.621,HOU,0.604,SLC,0.498,0.506,0.091,0.653,PIT,0.637,HOU,0.508,0.516,0.088
SAN,SEA,0.325,PAO,0.177,HOU,0.149,0.13,0.058,0.326,PAO,0.184,HOU,0.154,0.137,0.057,0.406,PAO,0.292,HOU,0.229,0.212,0.067,0.402,PAO,0.278,HOU,0.22,0.203,0.067,0.468,PAO,0.42,HOU,0.335,0.333,0.059,0.474,PAO,0.373,CMI,0.313,0.305,0.066
SAN,SLC,0.533,PAO,0.445,HOU,0.309,0.272,0.09,0.589,PAO,0.394,HOU,0.287,0.241,0.114,0.513,PAO,0.448,HOU,0.332,0.318,0.087,0.543,PAO,0.419,HOU,0.316,0.282,0.102,0.547,PAO,0.521,HOU,0.398,0.39,0.085,0.545,PAO,0.511,HOU,0.409,0.423,0.081
CMI,SEA,0.203,HOU,0.195,SAN,0.16,0.159,0.03,0.215,HOU,0.2,SAN,0.173,0.173,0.026,0.323,HOU,0.313,SAN,0.254,0.249,0.05,0.328,HOU,0.32,BOU,0.262,0.273,0.054,0.391,HOU,0.382,PIT,0.325,0.333,0.048,0.436,PAO,0.434,SAN,0.349,0.358,0.068
CMI,PAO,0.629,SEA,0.423,SAN,0.296,0.26,0.12,0.579,SEA,0.378,SAN,0.319,0.295,0.094,0.558,SEA,0.415,SAN,0.319,0.296,0.098,0.501,SEA,0.426,SLC,0.338,0.337,0.083,0.538,SEA,0.494,HOU,0.408,0.406,0.072,0.556,SEA,0.516,SAN,0.412,0.403,0.09
CMI,SAN,0.619,SEA,0.394,PAO,0.299,0.263,0.113,0.562,SEA,0.421,HOU,0.315,0.281,0.092,0.555,SEA,0.42,HOU,0.321,0.291,0.097,0.499,SEA,0.46,HOU,0.338,0.32,0.082,0.554,SEA,0.489,HOU,0.408,0.399,0.077,0.561,SEA,0.52,HOU,0.405,0.395,0.088
CMI,SLC,0.452,BOU,0.421,PIT,0.36,0.352,0.055,0.448,BOU,0.422,SEA,0.345,0.333,0.063,0.454,BOU,0.422,PIT,0.349,0.336,0.067,0.504,BOU,0.393,PAO,0.336,0.349,0.081,0.497,PIT,0.466,SEA,0.397,0.411,0.065,0.527,BOU,0.491,HOU,0.404,0.41,0.074
CMI,HOU,0.462,PIT,0.375,BOU,0.321,0.298,0.055,0.429,PIT,0.364,BOU,0.292,0.267,0.063,0.449,PIT,0.391,BOU,0.312,0.293,0.06,0.464,BOU,0.379,LNK,0.296,0.285,0.082,0.481,PIT,0.426,SEA,0.35,0.35,0.066,0.488,BOU,0.415,SLC,0.355,0.379,0.079
CMI,CPK,0.665,PIT,0.485,HOU,0.379,0.341,0.116,0.59,PIT,0.545,HOU,0.379,0.35,0.091,0.636,PIT,0.535,HOU,0.39,0.373,0.106,0.59,HOU,0.569,PIT,0.396,0.374,0.092,0.667,PIT,0.594,HOU,0.456,0.45,0.099,0.632,PIT,0.622,HOU,0.462,0.478,0.093
CMI,PIT,0.233,HOU,0.196,BOU,0.17,0.166,0.027,0.206,HOU,0.175,BOU,0.146,0.142,0.028,0.374,HOU,0.314,BOU,0.261,0.253,0.046,0.344,HOU,0.309,BOU,0.24,0.233,0.048,0.425,HOU,0.364,SEA,0.312,0.315,0.057,0.403,HOU,0.371,BOU,0.313,0.302,0.051
CMI,PRI,0.732,PIT,0.391,HOU,0.343,0.303,0.131,0.698,PIT,0.408,HOU,0.35,0.331,0.114,0.668,PIT,0.48,HOU,0.378,0.371,0.109,0.625,PIT,0.501,HOU,0.386,0.362,0.095,0.685,PIT,0.575,HOU,0.445,0.439,0.098,0.675,PIT,0.592,HOU,0.456,0.452,0.104
CMI,ITH,0.732,PIT,0.409,HOU,0.353,0.317,0.129,0.692,PIT,0.403,HOU,0.351,0.331,0.11,0.664,PIT,0.482,HOU,0.382,0.376,0.107,0.62,PIT,0.48,HOU,0.382,0.356,0.095,0.682,PIT,0.584,HOU,0.447,0.436,0.097,0.675,PIT,0.586,HOU,0.45,0.446,0.108
CMI,LNK,0.223,BOU,0.168,HOU,0.132,0.123,0.034,0.287,BOU,0.226,HOU,0.184,0.174,0.038,0.349,BOU,0.248,HOU,0.2,0.184,0.056,0.424,BOU,0.316,HOU,0.259,0.246,0.063,0.48,BOU,0.38,HOU,0.325,0.314,0.064,0.447,BOU,0.341,HOU,0.283,0.273,0.064
HOU,SEA,0.599,SAN,0.403,PAO,0.264,0.231,0.128,0.519,SAN,0.39,CMI,0.299,0.281,0.09,0.519,SAN,0.402,PAO,0.279,0.251,0.114,0.461,SAN,0.437,CMI,0.315,0.312,0.086,0.534,SAN,0.461,PAO,0.36,0.35,0.097,0.535,SAN,0.519,PAO,0.362,0.356,0.11
HOU,PAO,0.582,SAN,0.37,SEA,0.262,0.221,0.123,0.51,SAN,0.412,SLC,0.295,0.277,0.094,0.529,SAN,0.407,SEA,0.283,0.242,0.115,0.466,SAN,0.425,SLC,0.313,0.31,0.088,0.529,SAN,0.46,SLC,0.357,0.351,0.096,0.529,SAN,0.5,SEA,0.36,0.365,0.105
HOU,SAN,0.214,PAO,0.195,SEA,0.143,0.131,0.046,0.226,PAO,0.216,SEA,0.174,0.177,0.037,0.334,SEA,0.323,PAO,0.225,0.205,0.076,0.351,SEA,0.342,PAO,0.259,0.258,0.066,0.382,PAO,0.379,SLC,0.302,0.308,0.069,0.467,PAO,0.459,SEA,0.329,0.336,0.089
