source,target,longest_simple_approx
SEA,PAO,13
SEA,SAN,13
SEA,HOU,12
SEA,ATL,13
SEA,PIT,12
SEA,CMI,13
SEA,LNK,12
SEA,BOU,12
SEA,SLC,12
SEA,ARB,13
SEA,ITH,13
SEA,PRI,13
SEA,CPK,13
PAO,SAN,13
PAO,HOU,13
PAO,ATL,13
PAO,PIT,12
PAO,CMI,13
PAO,LNK,12
PAO,BOU,13
PAO,SLC,13
PAO,ARB,13
PAO,ITH,13
PAO,PRI,13
PAO,CPK,13
SAN,HOU,13
SAN,ATL,13
SAN,PIT,12
SAN,CMI,13
SAN,LNK,12
SAN,BOU,13
SAN,SLC,13
SAN,ARB,12
SAN,ITH,13
SAN,PRI,13
SAN,CPK,12
HOU,ATL,13
HOU,PIT,12
HOU,CMI,11
HOU,LNK,12
HOU,BOU,13
HOU,SLC,10
HOU,ARB,12
HOU,ITH,11
HOU,PRI,11
HOU,CPK,12
ATL,PIT,13
ATL,CMI,13
ATL,LNK,13
ATL,BOU,13
ATL,SLC,13
ATL,ARB,13
ATL,ITH,13
ATL,PRI,13
ATL,CPK,13
PIT,CMI,12
PIT,LNK,12
PIT,BOU,12
PIT,SLC,12
PIT,ARB,11
PIT,ITH,13
PIT,PRI,13
PIT,CPK,12
CMI,LNK,13
CMI,BOU,12
CMI,SLC,11
CMI,ARB,13
CMI,ITH,12
CMI,PRI,12
CMI,CPK,13
LNK,BOU,13
LNK,SLC,12
LNK,ARB,13
LNK,ITH,13
LNK,PRI,13
LNK,CPK,13
BOU,SLC,13
BOU,ARB,12
BOU,ITH,13
BOU,PRI,13
BOU,CPK,12
SLC,ARB,13
SLC,ITH,12
SLC,PRI,12
SLC,CPK,13
ARB,ITH,13
ARB,PRI,13
ARB,CPK,12
ITH,PRI,12
ITH,CPK,13
PRI,CPK,13
