destination,mean_hops,std_hops,min_hops,max_hops,packets
LNK,4.196078431372549,5.847527630763393,1,59,612
HOU,4.642615558060879,4.306690886804129,1,26,887
CMI,5.168341708542713,5.168206123646928,2,46,796
SLC,5.218300653594771,5.827424883458603,1,34,765
PIT,5.508155583437892,2.9820031053531495,3,22,797
PAO,5.683658170914542,4.54533252768165,2,28,667
SEA,5.929012345679013,4.1760513882588235,3,29,648
SAN,5.94856278366112,4.420118209316755,2,30,661
ARB,5.968203497615263,4.184034320541917,2,36,629
CPK,6.126712328767123,4.051175900589758,2,38,584
PRI,6.131886477462437,3.418153678730641,3,22,599
ITH,6.32220367278798,3.666118546079725,3,25,599
ATL,6.404705882352941,4.601889787834685,2,34,425
