source,target,throughput_kbps,mean_hops,packets
SEA,SAN,2.212061206120612,4.49537037037037,864
PAO,BOU,1.8317188375630455,6.057342657342657,715
PAO,PIT,1.826120015206997,5.532959326788219,713
SEA,SLC,1.731806900968698,5.812130177514793,676
SEA,CMI,1.8254625462546255,5.077138849929874,713
SEA,BOU,1.797947055645598,6.012820512820513,702
SEA,PAO,2.2683868386838686,4.863431151241535,886
PAO,SAN,2.1787778777877786,4.679200940070506,851
PAO,ATL,1.119954840530624,7.456221198156682,434
SEA,ARB,1.4115763349611723,6.651542649727768,551
SEA,ATL,0.9990344383649835,7.690721649484536,388
SEA,HOU,1.9647774575728492,5.044328552803129,767
PAO,SEA,2.2402240224022405,4.6411428571428575,875
SEA,PIT,1.7915181610668378,5.400572246065808,699
PAO,CMI,1.7984148586982631,5.99002849002849,702
PAO,HOU,2.0049675506770313,5.179028132992327,782
PAO,SLC,1.8689868986898692,5.445205479452055,730
PAO,ARB,1.5175535217191045,6.101351351351352,592
SAN,SEA,2.278627862786279,4.753932584269663,890
SAN,PAO,2.352875287528753,4.945593035908597,919
SAN,PIT,1.7980346054138787,5.483547925608011,699
SAN,BOU,1.8078662025367112,6.024079320113314,706
SAN,CMI,1.8504665411877772,5.998614958448753,722
HOU,SEA,1.780481947001842,4.543884892086331,695
SAN,ATL,1.1753691033489382,6.810457516339869,459
HOU,PAO,1.8011184830323324,4.6923076923076925,702
SAN,ARB,1.428726855116556,6.537906137184115,554
HOU,SAN,1.8766676667666768,3.9672578444747613,733
HOU,PIT,2.5720919061724445,4.085657370517929,1004
SAN,SLC,1.8837851908213523,5.684353741496599,735
SAN,HOU,2.0302830283028306,4.48297604035309,793
HOU,ATL,1.5489548954895491,3.3157024793388428,605
HOU,CMI,2.037162500751669,4.866498740554156,794
HOU,SLC,1.922229786552401,4.82,750
HOU,BOU,2.114771477147715,4.12590799031477,826
ATL,SEA,1.2906743645257017,7.713717693836978,503
HOU,ARB,1.6959249533965408,4.8653555219364595,661
ATL,SAN,1.274588768007053,7.609657947686117,497
ATL,PAO,1.3022249814751774,7.755905511811024,508
ATL,PIT,1.7998599859986,4.54054054054054,703
ATL,SLC,1.3667403981500108,7.27683615819209,531
ATL,HOU,1.7870587058705871,4.356733524355301,698
ATL,CMI,1.4813984221697172,7.22318339100346,578
ATL,BOU,1.4032729164165973,7.0510948905109485,548
ATL,ARB,1.3623844935757383,6.992467043314501,531
PIT,SEA,1.518505181450807,4.957841483979764,593
PIT,SAN,1.4511598041576372,5.327433628318584,565
PIT,PAO,1.5960291409815073,5.532905296950241,623
PIT,HOU,2.6680549437347327,4.293948126801153,1041
PIT,ATL,1.49006900690069,3.2731958762886597,582
PIT,CMI,1.8510651065106511,4.132780082987552,723
PIT,ARB,1.9709262744783953,4.5149544863459035,769
PIT,BOU,1.8092962553960448,5.144886363636363,704
PIT,SLC,1.8530295142365143,5.080221300138312,723
CMI,SEA,1.8203420342034202,4.853727144866386,711
CMI,PAO,1.6362981634857767,5.539906103286385,639
CMI,PIT,2.004680468046805,4.648786717752235,783
CMI,BOU,2.0273116815505987,5.3097345132743365,791
CMI,HOU,2.1469279788385243,5.255675029868578,837
CMI,SAN,1.6439803144880576,5.6152647975077885,642
CMI,ATL,1.198631370430399,6.463675213675214,468
CMI,ARB,1.4720294405888135,6.391304347826087,575
CMI,SLC,1.80130117105395,6.260312944523471,703
BOU,SEA,1.6472660315427112,5.897356143079316,643
BOU,PAO,1.7658884305794724,5.622641509433962,689
BOU,SAN,1.6434580562454948,5.547581903276131,641
BOU,HOU,2.212061206120612,4.476851851851852,864
BOU,ATL,1.2212712221130908,6.5966386554621845,476
BOU,PIT,1.859899127371708,5.362258953168044,726
BOU,CMI,2.0725322232007053,5.337453646477132,809
BOU,ARB,1.5242974941958214,5.794957983193277,595
SLC,PAO,1.7256125612561257,4.406528189910979,674
BOU,SLC,2.045644564456446,5.254067584480601,799
SLC,SEA,1.678008165879434,5.483969465648855,655
SLC,HOU,2.124704657402587,5.300361881785284,829
SLC,SAN,1.7658884305794724,5.44267053701016,689
SLC,PIT,2.052037466976224,5.3083645443196,801
SLC,ATL,1.1314718675459523,6.607709750566894,441
SLC,BOU,1.9355535553555359,4.865079365079365,756
SLC,CMI,1.8815612921314568,5.994550408719346,734
SLC,ARB,1.7512151215121512,4.691520467836257,684
ARB,PAO,1.3366942743968315,5.854406130268199,522
ARB,SEA,1.3936434232647512,6.080882352941177,544
ARB,SAN,1.3264514063937909,6.405405405405405,518
ARB,PIT,2.3707500700812947,5.043243243243243,925
ARB,HOU,2.2390521175246185,5.311212814645309,874
ARB,BOU,1.5496802902443427,5.602649006622516,604
ARB,SLC,1.7716971697169717,4.73121387283237,692
ARB,ATL,1.089263545713027,6.684705882352941,425
ARB,CMI,1.5634135597292862,6.168852459016393,610
