destination,mean_hops,std_hops,min_hops,max_hops,packets
LNK,4.697445972495088,8.590373224778459,1,66,509
HOU,5.155088852988691,7.326353990561271,1,52,619
SLC,5.168674698795181,8.023359814854357,1,49,581
CMI,7.214452214452215,7.476500932372876,2,43,429
ARB,7.301837270341207,6.501420945818415,2,45,381
PIT,7.507317073170731,5.262958003655843,3,33,410
PAO,7.5248041775456915,8.07787074165177,2,51,383
SAN,7.630490956072351,8.152005540516122,2,91,387
CPK,7.756598240469208,6.536340473522118,2,40,341
SEA,8.0935960591133,7.957777022961663,3,53,406
ITH,8.227405247813412,6.143631273165233,3,39,343
PRI,8.406626506024097,6.2604383727929465,3,32,332
ATL,8.564179104477612,7.403986451291403,2,49,335
