source,target,lrv_tput,shortest,max_flow,longest,lrv_hops,node_conn,lrv_max_vis_prob,lrv_max_vis_node,lrv_mf_eff,lrv_nc_eff,lrv_inflation,lrv_q2_hops
SEA,SLC,2.38,2,3,12,5.834,3,0.552,PAO,0.79,0.53,2.92,5
PAO,SEA,2.663,1,3,13,5.01,3,0.463,SAN,0.89,0.72,5.01,2
PAO,SAN,2.622,1,3,13,4.931,3,0.475,SEA,0.87,0.69,4.93,2
PAO,SLC,2.279,1,3,13,5.169,3,0.439,SAN,0.76,0.64,5.17,5
PAO,PIT,2.283,3,3,12,6.087,3,0.549,HOU,0.76,0.51,2.03,5
PAO,PRI,1.818,3,3,13,7.08,3,0.621,HOU,0.61,0.34,2.36,7
SAN,SEA,2.729,1,3,13,5.407,3,0.468,PAO,0.91,0.73,5.41,2
SAN,SLC,2.308,2,3,13,5.944,3,0.547,PAO,0.77,0.52,2.97,5
CMI,SEA,2.059,1,3,13,5.041,3,0.391,HOU,0.69,0.63,5.04,5
CMI,PAO,2.154,2,3,13,6.075,3,0.538,SEA,0.72,0.5,3.04,5
CMI,SAN,2.145,2,3,13,6.059,3,0.554,SEA,0.71,0.48,3.03,5
CMI,SLC,2.318,3,3,11,5.838,3,0.497,PIT,0.77,0.58,1.95,5
CMI,HOU,2.511,3,3,11,5.194,3,0.481,PIT,0.84,0.65,1.73,4
CMI,CPK,1.985,3,3,13,6.524,3,0.667,PIT,0.66,0.33,2.17,6
CMI,PIT,2.313,1,3,12,4.75,3,0.425,HOU,0.77,0.66,4.75,5
CMI,PRI,1.934,2,3,12,6.406,3,0.685,PIT,0.64,0.3,3.2,6
CMI,ITH,1.919,2,3,12,6.42,3,0.682,PIT,0.64,0.31,3.21,6
CMI,LNK,1.922,1,2,13,5.136,2,0.48,BOU,0.96,1.0,5.14,1
HOU,SEA,2.185,2,3,12,5.33,3,0.534,SAN,0.73,0.51,2.67,4
HOU,PAO,2.202,2,3,13,5.3,3,0.529,SAN,0.73,0.52,2.65,5
HOU,SAN,2.168,1,3,13,4.641,3,0.382,PAO,0.72,0.67,4.64,4
HOU,SLC,2.847,2,3,10,5.264,3,0.45,BOU,0.95,0.78,2.63,6
HOU,PIT,3.236,2,4,12,4.684,4,0.377,CPK,0.81,0.67,2.34,4
HOU,PRI,2.189,2,3,11,5.176,3,0.544,CPK,0.73,0.5,2.59,5
HOU,ITH,2.215,2,3,11,5.186,3,0.543,CPK,0.74,0.51,2.59,5
HOU,LNK,1.721,2,2,12,5.567,2,0.634,BOU,0.86,0.63,2.78,5
ATL,SEA,1.906,3,2,13,7.906,2,0.78,HOU,0.95,0.42,2.64,8
ATL,PAO,1.881,3,2,13,7.958,2,0.793,HOU,0.94,0.39,2.65,8
ATL,SAN,1.879,2,2,13,7.768,2,0.802,HOU,0.94,0.37,3.88,7
ATL,CMI,1.985,2,2,13,7.022,2,0.742,HOU,0.99,0.51,3.51,7
ATL,SLC,1.92,3,2,13,7.109,2,0.742,HOU,0.96,0.5,2.37,7
ATL,HOU,1.947,1,2,13,4.072,2,0.487,PIT,0.97,1.0,4.07,1
ATL,CPK,1.998,2,2,13,7.181,2,0.704,PIT,1.0,0.59,3.59,7
ATL,BOU,1.955,2,2,13,7.272,2,0.768,HOU,0.98,0.45,3.64,7
ATL,PIT,1.979,1,2,13,4.423,2,0.495,HOU,0.99,1.0,4.42,1
ATL,PRI,1.945,2,2,13,7.463,2,0.732,PIT,0.97,0.52,3.73,7
ATL,ITH,1.947,2,2,13,7.542,2,0.727,PIT,0.97,0.53,3.77,7
ATL,LNK,1.86,3,2,13,8.757,2,0.811,HOU,0.93,0.35,2.92,9
CPK,SEA,1.891,3,3,13,7.053,3,0.665,HOU,0.63,0.32,2.35,7
CPK,PAO,1.937,3,3,13,7.084,3,0.669,HOU,0.65,0.32,2.36,7
CPK,SAN,1.926,2,3,12,6.929,3,0.686,HOU,0.64,0.3,3.46,7
CPK,SLC,2.304,3,3,13,6.405,3,0.601,PIT,0.77,0.46,2.14,6
CPK,HOU,2.809,1,3,12,5.105,3,0.517,PIT,0.94,0.68,5.11,5
CPK,PIT,2.998,2,3,12,5.1,3,0.483,ITH,1.0,0.77,2.55,4
CPK,PRI,2.644,1,3,13,5.638,3,0.463,PIT,0.88,0.71,5.64,3
CPK,ITH,2.667,1,3,13,5.654,3,0.462,PIT,0.89,0.72,5.65,3
CPK,LNK,1.665,3,2,13,7.532,2,0.699,HOU,0.83,0.5,2.51,7
BOU,SEA,2.113,3,3,12,6.46,3,0.587,HOU,0.7,0.44,2.15,6
BOU,PAO,2.128,2,3,13,6.324,3,0.582,HOU,0.71,0.44,3.16,6
BOU,SAN,2.061,2,3,13,6.272,3,0.616,HOU,0.69,0.4,3.14,6
BOU,CMI,2.457,2,3,12,5.346,3,0.447,HOU,0.82,0.68,2.67,4
BOU,SLC,2.327,1,3,13,4.963,3,0.44,HOU,0.78,0.65,4.96,5
BOU,HOU,2.569,1,3,13,4.716,3,0.424,SLC,0.86,0.74,4.72,5
BOU,CPK,2.065,2,3,12,6.496,3,0.677,HOU,0.69,0.33,3.25,6
BOU,PIT,2.486,3,3,12,5.743,3,0.584,HOU,0.83,0.52,1.91,6
BOU,PRI,1.98,3,3,13,6.576,3,0.654,HOU,0.66,0.34,2.19,6
