Hop Count Analysis: GEANT
Source: MIL
Variant: lrv
============================================================

Destination      Mean      Std    Min    Max  Packets
------------------------------------------------------------
TIR              5.54     8.23      1     49      591
SOF              6.22     7.47      2     44      853
ZAG              6.87     7.66      2     48      858
LJU              6.94     9.14      1     49      704
GEN              8.29     9.86      1     51     1048
THE              8.29     6.96      3     50      337
BEL              8.30     7.51      3     54      625
MAR              8.63    11.09      1     51      850
BUC              8.67     6.84      3     47      476
IST              8.88     6.92      3     46      393
VIE              8.99     9.07      1     48      987
POD              9.18     8.02      3     49      273
SKO              9.23     7.17      3     45      444
ATH              9.32     7.64      4     54      271
PAR              9.40     7.89      2     45      839
BUD              9.42     8.29      3     48      881
NIC             10.14     6.26      5     40      257
FRA             10.26     7.95      2     41      942
PRA             10.30     7.86      2     41      818
BRA             10.46     9.22      2     45      607
AMS             10.76     6.74      3     37      757
MAD             11.00    10.12      2     53      690
BIL             11.41     9.44      3     45      687
BRU             11.75     8.15      3     44      668
POZ             11.98     7.11      3     45      552
POR             12.29     9.39      4     48      514
LIS             12.37     9.86      3     49      487
LON             12.38     8.21      3     40      570
SIN             12.53    10.08      4     50      267
DUB             12.60     7.99      4     43      508
HAM             12.65     6.83      4     47      494
COR             12.98     8.29      3     47      467
LUX             13.31     8.90      3     45      559
COP             13.62     6.28      5     41      460
BER             14.21     7.14      4     41      486
HEL             14.69     5.96      6     44      444
KIE             15.29     8.25      4     40      241
STO             15.49     6.69      7     44      321
OSL             15.60     7.57      6     45      299
RIG             15.69     6.96      5     44      397
TAR             15.79     6.74      6     46      397
KAU             15.94     7.52      4     46      394
