source,target,throughput_kbps,mean_hops,packets
ATH,MAD,0.6453652387907417,24.21825396825397,252
ATH,MIL,0.841632587603241,9.814024390243903,328
ATH,FRA,0.7017431118965386,18.67032967032967,273
ATH,COP,0.5983739837398382,25.495652173913044,230
ATH,BER,0.5717032526838659,25.77578475336323,223
AMS,VIE,1.4555355355355386,14.036971830985916,568
ATH,AMS,0.6559608282501359,21.05263157894737,247
AMS,LON,2.0584458445844582,8.31592039800995,804
AMS,PAR,2.8470047004700474,8.610611510791367,1112
AMS,ATH,0.5392284699793382,19.857142857142858,210
AMS,FRA,2.962216221622162,8.957649092480553,1157
AMS,MIL,1.8539591085503948,10.991712707182321,724
AMS,MAD,1.3295973100632459,12.957610789980732,519
AMS,COP,1.691562212166113,12.831818181818182,660
AMS,BER,1.7710143766769455,13.186685962373373,691
ATH,LON,0.5776520849629959,24.25777777777778,225
ATH,PAR,0.6634646173551082,20.27027027027027,259
ATH,VIE,0.7219880364526887,16.587188612099645,281
BER,AMS,1.7640164016401643,12.30188679245283,689
BER,FRA,1.6992511313123224,13.058823529411764,663
BER,COP,2.887968796879688,12.953900709219859,1128
BER,LON,1.0683960847895293,16.247002398081534,417
BER,ATH,0.38923126824521614,26.706666666666667,150
BER,PAR,1.4034356270921449,14.385740402193784,547
BER,MIL,1.2560831514229072,14.20204081632653,490
BER,VIE,1.1426055280907903,15.0695067264574,446
BER,MAD,0.8806576131522642,19.1046511627907,344
COP,AMS,1.6257625762576258,10.428346456692914,635
COP,ATH,0.4780338928600127,26.27956989247312,186
COP,FRA,1.6159929348480628,12.712241653418124,629
COP,LON,1.0121108998098294,16.083544303797467,395
COP,MAD,0.8118934709966592,18.100946372239747,317
COP,MIL,1.0870923804182364,14.431603773584905,424
COP,BER,2.6063406340634065,10.780943025540275,1018
COP,PAR,1.2546252680951715,13.265848670756647,489
COP,VIE,1.0337927431992617,15.651741293532337,402
FRA,AMS,2.7215521552155217,8.673565380997179,1063
FRA,LON,1.8211852655694216,11.309322033898304,708
FRA,MAD,1.3091025538387644,12.342465753424657,511
FRA,MIL,2.32554975288633,10.614537444933921,908
FRA,PAR,2.4887249694321394,10.18041237113402,970
FRA,BER,1.6377397781426453,14.097026604068857,639
FRA,COP,1.6134022684461558,13.834658187599365,629
FRA,ATH,0.5640573671981417,17.686363636363637,220
LON,AMS,2.265826582658266,10.827118644067797,885
FRA,VIE,1.9806625963367042,12.085381630012936,773
LON,BER,1.4967307152312577,18.656946826758148,583
LON,COP,1.5485938626712619,18.44039735099338,604
LON,ATH,0.5126870005807783,23.565,200
LON,MIL,1.751705648146299,13.352339181286549,684
LON,MAD,1.3810817883527595,16.059701492537314,536
LON,PAR,2.8854085408540855,6.7728482697426795,1127
LON,FRA,2.1930984730070957,12.981286549707603,855
MAD,AMS,1.54627092541851,14.440397350993377,604
MAD,MIL,1.637018653430471,10.815336463223787,639
MAD,FRA,1.606276519093748,14.467304625199363,627
MAD,LON,1.3729288401504876,16.96828358208955,536
MAD,PAR,1.8792279227922792,10.294277929155314,734
MAD,COP,1.085705097282522,21.398104265402843,422
LON,VIE,1.5338694834553683,16.535893155258766,599
MAD,BER,1.0341667336602638,20.31094527363184,402
MAD,ATH,0.5786595087690976,23.09375,224
MAD,VIE,1.3625467715148982,16.05263157894737,532
MIL,AMS,2.1157660635931967,10.447272727272727,825
MIL,ATH,0.6566470281752237,9.13671875,256
MIL,FRA,2.4465949389914057,10.367924528301886,954
MIL,BER,1.2856455493183647,13.776447105788423,501
MIL,COP,1.1912230735288225,13.982758620689655,464
MIL,LON,1.6038492381716123,12.0752,625
MIL,VIE,2.480888088808881,8.942208462332301,969
MIL,MAD,1.687208720872087,10.562974203338392,659
MIL,PAR,2.113262051395216,9.325637910085055,823
PAR,AMS,2.8393239323932384,9.749323715058612,1109
PAR,FRA,2.672003842766794,10.499520613614573,1043
PAR,BER,1.2114372611401252,15.843551797040169,473
PAR,ATH,0.49122381789169706,17.736842105263158,190
PAR,MAD,1.8488376745488744,9.365650969529085,722
PAR,LON,2.806040604060406,6.333029197080292,1096
PAR,COP,1.2604275078056204,15.002032520325203,492
VIE,AMS,1.7240093800733591,13.824404761904763,672
PAR,MIL,2.063355683141286,9.97384806973848,803
PAR,VIE,1.553951079021582,13.390444810543658,607
VIE,BER,1.3361705544626008,15.682692307692308,520
VIE,COP,1.409014490433112,15.74909090909091,550
VIE,ATH,0.6241880981768885,16.821576763485478,241
VIE,MIL,2.5346534653465347,8.68989898989899,990
VIE,FRA,1.9587917583516732,12.588235294117647,765
VIE,MAD,1.3315358457916668,16.785299806576404,517
VIE,LON,1.3702303059407341,16.386915887850467,535
VIE,PAR,1.75998719077736,14.374090247452694,687
