destination,mean_hops,std_hops,min_hops,max_hops,packets
SOF,4.852604828462516,6.279077433681827,2,77,787
LJU,4.968586387434555,8.31737752280416,1,62,573
TIR,5.298507462686567,9.65488805962939,1,71,536
ZAG,6.186046511627907,9.102574337171223,2,84,774
MAR,7.519040902679831,15.700250774987026,1,122,709
GEN,7.706818181818182,13.357427244919053,1,146,880
BUD,7.717717717717718,9.693573219311574,3,93,666
THE,8.046961325966851,7.427774079967343,3,63,362
POD,8.114537444933921,10.468543614217925,3,71,227
VIE,8.28740157480315,12.831844975651695,1,115,762
BEL,8.542145593869732,11.431251510890625,3,153,522
SKO,9.127536231884058,9.02627218634695,3,69,345
FRA,9.47919876733436,10.802325919672173,2,134,649
BRA,9.662650602409638,12.011317061530766,2,80,498
IST,9.681063122923588,11.317728142093761,3,91,301
BUC,9.863109048723897,10.400442101288844,3,78,431
PAR,10.147286821705427,11.740937970264952,2,93,645
LIS,10.689839572192513,12.00089361538739,3,80,374
NIC,10.949748743718592,7.98160494667645,5,62,199
BIL,10.953488372093023,13.051611383766637,3,83,473
ATH,10.980392156862745,10.863665282749867,4,81,204
MAD,11.057649667405766,15.39692867612742,2,102,451
PRA,11.170818505338078,13.065643289228653,2,101,562
AMS,11.733962264150943,9.267053497572887,3,58,530
POR,12.211356466876971,14.097546502952202,4,109,317
LON,12.435729847494553,11.573658585391252,3,87,459
SIN,13.193236714975846,12.615125981667326,4,83,207
BRU,13.356415478615071,13.558099111219779,3,81,491
POZ,13.449086161879896,10.344049787468684,3,53,383
LUX,13.884097035040432,13.145671109859306,3,73,371
HAM,13.934472934472934,9.437074984674089,4,72,351
COP,14.081632653061224,10.541285526037186,5,92,343
BER,14.534965034965035,9.994255404115583,4,58,286
DUB,14.697329376854599,12.965272903919658,4,83,337
COR,14.77910447761194,12.504047551420657,3,79,335
KAU,15.084615384615384,10.212009984767645,4,57,260
HEL,15.112582781456954,9.18719454786747,6,58,302
OSL,15.991735537190083,8.352755637511299,6,58,242
RIG,17.841269841269842,10.552523732153455,5,66,252
TAR,17.946938775510205,14.367808434146566,6,118,245
STO,18.4468085106383,12.090102353610519,7,68,235
KIE,18.614942528735632,13.958312554335253,4,75,174
