Hop Count Analysis: GEANT
Source: MIL
Variant: nonbacktracking
============================================================

Destination      Mean      Std    Min    Max  Packets
------------------------------------------------------------
SOF              4.85     6.28      2     77      787
LJU              4.97     8.32      1     62      573
TIR              5.30     9.65      1     71      536
ZAG              6.19     9.10      2     84      774
MAR              7.52    15.70      1    122      709
GEN              7.71    13.36      1    146      880
BUD              7.72     9.69      3     93      666
THE              8.05     7.43      3     63      362
POD              8.11    10.47      3     71      227
VIE              8.29    12.83      1    115      762
BEL              8.54    11.43      3    153      522
SKO              9.13     9.03      3     69      345
FRA              9.48    10.80      2    134      649
BRA              9.66    12.01      2     80      498
IST              9.68    11.32      3     91      301
BUC              9.86    10.40      3     78      431
PAR             10.15    11.74      2     93      645
LIS             10.69    12.00      3     80      374
NIC             10.95     7.98      5     62      199
BIL             10.95    13.05      3     83      473
ATH             10.98    10.86      4     81      204
MAD             11.06    15.40      2    102      451
PRA             11.17    13.07      2    101      562
AMS             11.73     9.27      3     58      530
POR             12.21    14.10      4    109      317
LON             12.44    11.57      3     87      459
SIN             13.19    12.62      4     83      207
BRU             13.36    13.56      3     81      491
POZ             13.45    10.34      3     53      383
LUX             13.88    13.15      3     73      371
HAM             13.93     9.44      4     72      351
COP             14.08    10.54      5     92      343
BER             14.53     9.99      4     58      286
DUB             14.70    12.97      4     83      337
COR             14.78    12.50      3     79      335
KAU             15.08    10.21      4     57      260
HEL             15.11     9.19      6     58      302
OSL             15.99     8.35      6     58      242
RIG             17.84    10.55      5     66      252
TAR             17.95    14.37      6    118      245
STO             18.45    12.09      7     68      235
KIE             18.61    13.96      4     75      174
