source,target,r_min_hops,r_max_hops,r_mean_hops,r_q1_hops,r_q2_hops,r_q3_hops,r_min_hops_rev,r_max_hops_rev,r_mean_hops_rev,r_q1_hops_rev,r_q2_hops_rev,r_q3_hops_rev,nb_min_hops,nb_max_hops,nb_mean_hops,nb_q1_hops,nb_q2_hops,nb_q3_hops,nb_min_hops_rev,nb_max_hops_rev,nb_mean_hops_rev,nb_q1_hops_rev,nb_q2_hops_rev,nb_q3_hops_rev,lrv_min_hops,lrv_max_hops,lrv_mean_hops,lrv_q1_hops,lrv_q2_hops,lrv_q3_hops,lrv_min_hops_rev,lrv_max_hops_rev,lrv_mean_hops_rev,lrv_q1_hops_rev,lrv_q2_hops_rev,lrv_q3_hops_rev
SEA,SLC,2,90,8.005,2,4,10,2,81,7.336,2,4,9,2,44,5.97,2,4,8,2,37,5.419,2,4,7,2,14,5.834,3,5,9,2,16,6.16,3,5,9
PAO,SEA,1,106,5.085,1,1,2,1,121,4.828,1,1,2,1,61,4.616,1,2,6,1,72,4.776,1,2,6,1,20,5.01,1,2,9,1,20,5.183,1,2,9
PAO,SAN,1,90,4.791,1,1,2,1,118,5.003,1,1,2,1,66,4.688,1,2,6,1,81,4.746,1,2,6,1,17,4.931,1,2,9,1,18,5.371,1,2,9
PAO,SLC,1,105,5.537,1,1,6,1,62,4.785,1,1,6,1,54,5.074,1,1,7,1,53,4.72,1,1,6,1,15,5.169,1,5,9,1,15,5.182,1,5,9
PAO,PIT,3,45,8.056,4,7,10,3,43,7.408,4,6,9,3,24,5.625,4,5,7,3,24,5.402,4,5,6,3,14,6.087,4,5,8,3,14,5.974,4,5,8
PAO,PRI,3,52,9.55,5,8,12,3,58,9.054,5,7,12,3,33,6.613,4,6,8,3,32,6.553,4,6,8,3,16,7.08,5,7,9,3,17,7.232,5,7,9
SAN,SEA,1,157,4.813,1,1,2,1,123,5.106,1,1,2,1,64,4.823,1,2,6,1,77,4.677,1,2,6,1,22,5.407,1,2,10,1,22,5.074,1,2,9
SAN,SLC,2,84,7.821,2,4,10,2,71,7.067,2,3,9,2,48,5.85,2,5,7,2,42,5.482,2,3,7,2,16,5.944,3,5,8,2,15,6.087,3,6,9
CMI,SEA,1,81,4.82,1,1,5,1,83,5.373,1,1,6,1,52,5.012,1,1,6,1,76,5.127,1,1,6,1,16,5.041,1,5,9,1,16,5.325,1,5,9
CMI,PAO,2,84,7.245,2,4,9,2,101,8.145,2,4,11,2,39,5.593,2,4,7,2,57,5.981,2,4,8,2,15,6.075,3,5,9,2,16,6.094,3,5,9
CMI,SAN,2,76,7.359,2,4,9,2,70,8.065,2,4,10,2,45,5.665,2,4,7,2,43,6.011,2,4,8,2,16,6.059,3,5,9,2,15,6.017,3,5,9
CMI,SLC,3,57,8.816,3,6,11,3,59,8.321,3,6,11,3,42,6.068,3,4,7,3,39,5.812,3,4,7,3,14,5.838,3,5,8,3,14,5.942,3,6,8
CMI,HOU,3,60,7.629,3,5,10,3,50,6.629,3,5,8,3,29,5.278,3,4,7,3,37,4.941,3,3,6,3,11,5.194,3,4,7,3,11,5.256,3,4,7
CMI,CPK,3,55,8.602,4,7,11,3,73,8.751,4,7,11,3,44,6.231,4,5,8,3,41,6.334,4,6,8,3,13,6.524,4,6,9,3,15,6.605,4,6,9
CMI,PIT,1,59,4.781,1,1,6,1,52,4.112,1,1,5,1,43,4.593,1,5,7,1,31,4.269,1,1,6,1,13,4.75,1,5,8,1,13,4.759,1,5,8
CMI,PRI,2,63,7.837,2,6,11,2,66,8.183,2,6,11,2,43,6.06,4,5,8,2,34,6.197,4,5,8,2,14,6.406,4,6,8,2,16,6.543,5,7,9
CMI,ITH,2,50,8.126,2,6,11,2,59,8.249,2,6,11,2,32,6.127,4,5,8,2,41,6.14,4,5,8,2,14,6.42,4,6,8,2,16,6.469,4,7,8
CMI,LNK,1,114,4.355,1,1,1,1,123,6.593,1,1,7,1,61,4.307,1,1,6,1,86,5.731,1,1,8,1,23,5.136,1,1,9,1,17,4.542,1,1,8
