destination,mean_hops,std_hops,min_hops,max_hops,packets
HOU,4.648055832502492,3.4937294218434,1,13,1003
SLC,5.008602150537635,4.058169933271302,1,18,930
LNK,5.219973009446694,5.129253035913125,1,19,741
CMI,5.296216216216216,3.7380203977227158,2,16,925
PIT,5.570289132602193,2.5440867681155144,3,13,1003
PAO,6.1726190476190474,3.4832883748685424,2,16,840
ARB,6.237485448195576,3.0352130086117874,2,13,859
SAN,6.285714285714286,3.4070857102228094,2,15,819
CPK,6.358722358722359,3.119498217550946,2,15,814
SEA,6.500650195058517,3.5033422041463513,3,16,769
PRI,6.633689839572193,2.925005374107861,3,14,748
ITH,6.692913385826771,2.906717202964505,3,14,762
ATL,6.760330578512397,3.786502329421949,2,17,605
