source,target,r_max_vis_prob,r_max_vis_node,r_max_vis_prob_2,r_max_vis_node_2,r_average_vis_prob,r_median_vis_prob,r_stdev_vis_prob,r_max_vis_prob_rev,r_max_vis_node_rev,r_max_vis_prob_2_rev,r_max_vis_node_2_rev,r_average_vis_prob_rev,r_median_vis_prob_rev,r_stdev_vis_prob_rev,nb_max_vis_prob,nb_max_vis_node,nb_max_vis_prob_2,nb_max_vis_node_2,nb_average_vis_prob,nb_median_vis_prob,nb_stdev_vis_prob,nb_max_vis_prob_rev,nb_max_vis_node_rev,nb_max_vis_prob_2_rev,nb_max_vis_node_2_rev,nb_average_vis_prob_rev,nb_median_vis_prob_rev,nb_stdev_vis_prob_rev,lrv_max_vis_prob,lrv_max_vis_node,lrv_max_vis_prob_2,lrv_max_vis_node_2,lrv_average_vis_prob,lrv_median_vis_prob,lrv_stdev_vis_prob,lrv_max_vis_prob_rev,lrv_max_vis_node_rev,lrv_max_vis_prob_2_rev,lrv_max_vis_node_2_rev,lrv_average_vis_prob_rev,lrv_median_vis_prob_rev,lrv_stdev_vis_prob_rev
SIE,STP,1.0,BRE,0.34,GUD,0.435,0.337,0.344,1.0,BRE,0.464,GUD,0.514,0.457,0.309,1.0,BRE,0.36,GUD,0.449,0.354,0.336,1.0,BRE,0.474,GUD,0.523,0.467,0.303,1.0,BRE,0.557,GUD,0.547,0.542,0.317,1.0,BRE,0.506,GUD,0.548,0.5,0.29
ERD,SIE,0.334,GUD,0.327,BRE,0.189,0.21,0.146,0.333,BRE,0.327,GUD,0.188,0.209,0.146,0.402,GUD,0.38,BRE,0.221,0.241,0.174,0.405,GUD,0.381,BRE,0.222,0.242,0.175,0.491,GUD,0.484,BRE,0.285,0.324,0.211,0.49,GUD,0.477,BRE,0.283,0.32,0.209
ERD,FRM,0.0,---,0.0,---,0.0,0.0,0.0,0.0,---,0.0,---,0.0,0.0,0.0,0.0,---,0.0,---,0.0,0.0,0.0,0.0,---,0.0,---,0.0,0.0,0.0,0.0,---,0.0,---,0.0,0.0,0.0,0.0,---,0.0,---,0.0,0.0,0.0
ERD,GUD,0.341,SIE,0.33,BRE,0.19,0.21,0.149,0.335,SIE,0.332,BRE,0.189,0.21,0.148,0.402,SIE,0.376,BRE,0.219,0.238,0.173,0.404,SIE,0.379,BRE,0.22,0.238,0.175,0.488,SIE,0.479,BRE,0.283,0.322,0.209,0.49,SIE,0.483,BRE,0.285,0.324,0.211
ERD,STP,1.0,BRE,0.354,SIE,0.426,0.352,0.361,1.0,BRE,0.466,GUD,0.479,0.458,0.354,1.0,BRE,0.361,SIE,0.429,0.359,0.361,1.0,BRE,0.474,GUD,0.484,0.468,0.354,1.0,BRE,0.562,GUD,0.529,0.558,0.355,1.0,BRE,0.502,SIE,0.499,0.499,0.354
FRM,SIE,1.0,ERD,0.434,BRE,0.499,0.431,0.313,1.0,ERD,0.36,GUD,0.447,0.357,0.339,1.0,ERD,0.457,GUD,0.512,0.449,0.308,1.0,ERD,0.37,GUD,0.452,0.364,0.337,1.0,ERD,0.493,BRE,0.542,0.487,0.29,1.0,ERD,0.553,GUD,0.548,0.543,0.316
FRM,GUD,1.0,ERD,0.461,SIE,0.511,0.452,0.31,1.0,ERD,0.365,BRE,0.452,0.359,0.335,1.0,ERD,0.478,SIE,0.527,0.473,0.301,1.0,ERD,0.367,SIE,0.451,0.36,0.337,1.0,ERD,0.517,BRE,0.561,0.517,0.283,1.0,ERD,0.563,SIE,0.553,0.552,0.316
FRM,STP,1.0,ERD,1.0,BRE,0.848,0.852,0.152,1.0,ERD,1.0,BRE,0.85,0.85,0.15,1.0,ERD,1.0,BRE,0.842,0.846,0.158,1.0,ERD,1.0,BRE,0.841,0.842,0.159,1.0,ERD,1.0,BRE,0.843,0.849,0.157,1.0,ERD,1.0,BRE,0.837,0.839,0.163
GUD,SIE,0.34,ERD,0.331,BRE,0.212,0.21,0.123,0.337,BRE,0.324,ERD,0.211,0.209,0.12,0.388,ERD,0.375,BRE,0.243,0.241,0.139,0.381,ERD,0.376,BRE,0.241,0.24,0.138,0.482,ERD,0.48,BRE,0.324,0.324,0.158,0.483,ERD,0.478,BRE,0.323,0.322,0.157
GUD,STP,1.0,BRE,0.362,SIE,0.447,0.357,0.34,1.0,BRE,0.451,SIE,0.508,0.449,0.311,1.0,BRE,0.372,SIE,0.451,0.36,0.337,1.0,BRE,0.462,SIE,0.516,0.455,0.305,1.0,BRE,0.554,SIE,0.549,0.545,0.317,1.0,BRE,0.499,SIE,0.545,0.494,0.29
