source,target,lrv_tput,shortest,max_flow,longest,lrv_hops,node_conn,lrv_max_vis_prob,lrv_max_vis_node
SIE,STP,1.0,2,1,4,3.294,1,1.0,BRE
ERD,SIE,2.893,1,3,3,2.304,3,0.491,GUD
ERD,FRM,1.0,1,1,1,1.0,1,0.0,---
ERD,GUD,2.894,1,3,3,2.296,3,0.488,SIE
ERD,STP,1.0,2,1,4,3.117,1,1.0,BRE
FRM,SIE,0.999,2,1,4,3.363,1,1.0,ERD
FRM,GUD,0.999,2,1,4,3.452,1,1.0,ERD
FRM,STP,0.608,3,1,5,4.374,1,1.0,ERD
GUD,SIE,2.828,1,3,3,2.626,3,0.482,ERD
GUD,STP,1.0,2,1,4,3.299,1,1.0,BRE
BRE,SIE,2.886,1,3,3,2.292,3,0.486,GUD
BRE,ERD,2.989,1,3,3,1.998,3,0.5,GUD
BRE,FRM,1.0,2,1,4,3.139,1,1.0,ERD
BRE,GUD,2.903,1,3,3,2.308,3,0.498,SIE
BRE,STP,1.0,1,1,1,1.0,1,0.0,---
