Source,Target,Weight
PRA,VIE,250.9
BRA,VIE,54.8
HEL,STO,395.8
KAU,RIG,228.4
GEN,MAR,329.1
BIL,PAR,743.4
GEN,PAR,409.8
LJU,ZAG,117.3
BER,HAM,255.5
BUC,SOF,295.2
HEL,TAR,223.7
LIS,POR,274.3
COP,HAM,289.1
LON,PAR,343.6
BEL,SOF,327.4
BIL,POR,524.0
DUB,LON,463.3
GEN,MIL,250.0
RIG,TAR,222.6
BRU,LUX,187.1
SOF,TIR,327.0
BER,POZ,238.8
BRU,PAR,264.0
AMS,BRU,173.0
COR,DUB,220.0
FRA,GEN,473.4
COP,HEL,882.8
BEL,ZAG,367.6
MAD,MAR,816.3
AMS,FRA,363.4
BUC,BUD,643.5
BEL,SKO,320.1
OSL,STO,416.3
LIS,MAD,502.4
MIL,VIE,625.5
BER,COP,355.2
BRA,BUD,161.4
MIL,TIR,973.1
BUD,ZAG,299.1
FRA,LUX,191.0
BIL,MAD,322.8
POZ,PRA,311.7
MAR,MIL,387.6
LJU,MIL,417.5
KAU,POZ,536.6
SKO,SOF,174.0
FRA,PRA,410.5
AMS,HAM,364.8
AMS,LON,357.9
COP,OSL,483.3
COR,PAR,838.0
