Source,Target,VConn
AMS,ATH,1
AMS,BEL,2
AMS,BER,2
AMS,BIL,2
AMS,BRA,2
AMS,BRU,3
AMS,BUC,2
AMS,BUD,2
AMS,COP,2
AMS,COR,2
AMS,DUB,2
AMS,FRA,4
AMS,GEN,3
AMS,HAM,2
AMS,HEL,2
AMS,IST,1
AMS,KAU,2
AMS,KIE,1
AMS,LIS,2
AMS,LJU,2
AMS,LON,2
AMS,LUX,2
AMS,MAD,2
AMS,MAR,3
AMS,MIL,3
AMS,NIC,1
AMS,OSL,2
AMS,PAR,4
AMS,POD,1
AMS,POR,2
AMS,POZ,2
AMS,PRA,3
AMS,RIG,2
AMS,SIN,1
AMS,SKO,2
AMS,SOF,2
AMS,STO,2
AMS,TAR,2
AMS,THE,1
AMS,TIR,2
AMS,VIE,2
AMS,ZAG,2
ATH,AMS,1
ATH,BEL,1
ATH,BER,1
ATH,BIL,1
ATH,BRA,1
ATH,BRU,1
ATH,BUC,1
ATH,BUD,1
ATH,COP,1
ATH,COR,1
ATH,DUB,1
ATH,FRA,1
ATH,GEN,1
ATH,HAM,1
ATH,HEL,1
ATH,IST,1
ATH,KAU,1
ATH,KIE,1
ATH,LIS,1
ATH,LJU,1
ATH,LON,1
ATH,LUX,1
ATH,MAD,1
ATH,MAR,1
ATH,MIL,1
ATH,NIC,1
ATH,OSL,1
ATH,PAR,1
ATH,POD,1
ATH,POR,1
ATH,POZ,1
ATH,PRA,1
ATH,RIG,1
ATH,SIN,1
ATH,SKO,1
ATH,SOF,1
ATH,STO,1
ATH,TAR,1
ATH,THE,1
ATH,TIR,1
ATH,VIE,1
ATH,ZAG,1
BEL,AMS,2
BEL,ATH,1
BEL,BER,2
BEL,BIL,2
BEL,BRA,2
BEL,BRU,2
BEL,BUC,2
BEL,BUD,2
BEL,COP,2
BEL,COR,2
BEL,DUB,2
BEL,FRA,2
BEL,GEN,2
BEL,HAM,2
BEL,HEL,2
BEL,IST,1
BEL,KAU,2
BEL,KIE,1
BEL,LIS,2
BEL,LJU,2
BEL,LON,2
BEL,LUX,2
BEL,MAD,2
BEL,MAR,2
BEL,MIL,2
BEL,NIC,1
BEL,OSL,2
BEL,PAR,2
BEL,POD,1
BEL,POR,2
BEL,POZ,2
BEL,PRA,2
BEL,RIG,2
BEL,SIN,1
BEL,SKO,2
BEL,SOF,3
BEL,STO,2
BEL,TAR,2
BEL,THE,1
BEL,TIR,2
BEL,VIE,2
BEL,ZAG,2
BER,AMS,2
BER,ATH,1
BER,BEL,2
BER,BIL,2
BER,BRA,2
BER,BRU,2
BER,BUC,2
BER,BUD,2
BER,COP,3
BER,COR,2
BER,DUB,2
BER,FRA,2
BER,GEN,2
BER,HAM,3
BER,HEL,2
BER,IST,1
BER,KAU,2
BER,KIE,1
BER,LIS,2
BER,LJU,2
BER,LON,2
BER,LUX,2
BER,MAD,2
BER,MAR,2
BER,MIL,2
BER,NIC,1
BER,OSL,2
BER,PAR,2
BER,POD,1
BER,POR,2
BER,POZ,3
BER,PRA,2
BER,RIG,2
BER,SIN,1
BER,SKO,2
BER,SOF,2
BER,STO,2
BER,TAR,2
BER,THE,1
BER,TIR,2
BER,VIE,2
BER,ZAG,2
BIL,AMS,2
BIL,ATH,1
BIL,BEL,2
BIL,BER,2
BIL,BRA,2
BIL,BRU,2
BIL,BUC,2
BIL,BUD,2
BIL,COP,2
BIL,COR,2
BIL,DUB,2
BIL,FRA,2
BIL,GEN,2
BIL,HAM,2
BIL,HEL,2
BIL,IST,1
BIL,KAU,2
BIL,KIE,1
BIL,LIS,2
BIL,LJU,2
BIL,LON,2
BIL,LUX,2
BIL,MAD,3
BIL,MAR,2
BIL,MIL,2
BIL,NIC,1
BIL,OSL,2
BIL,PAR,2
BIL,POD,1
BIL,POR,2
BIL,POZ,2
BIL,PRA,2
BIL,RIG,2
BIL,SIN,1
BIL,SKO,2
BIL,SOF,2
BIL,STO,2
BIL,TAR,2
BIL,THE,1
BIL,TIR,2
BIL,VIE,2
BIL,ZAG,2
BRA,AMS,2
BRA,ATH,1
BRA,BEL,2
BRA,BER,2
BRA,BIL,2
BRA,BRU,2
BRA,BUC,2
BRA,BUD,2
BRA,COP,2
BRA,COR,2
BRA,DUB,2
BRA,FRA,2
BRA,GEN,2
BRA,HAM,2
BRA,HEL,2
BRA,IST,1
BRA,KAU,2
BRA,KIE,1
BRA,LIS,2
BRA,LJU,2
BRA,LON,2
BRA,LUX,2
BRA,MAD,2
BRA,MAR,2
BRA,MIL,2
BRA,NIC,1
BRA,OSL,2
BRA,PAR,2
