Source,Target
ATH,MIL
MAR,TEL
PRA,VIE
BRA,VIE
HEL,STO
KAU,RIG
GEN,MAR
BIL,PAR
GEN,PAR
LJU,ZAG
BER,HAM
BUC,SOF
HEL,TAR
LIS,POR
COP,HAM
LON,PAR
MIL,VAL
BEL,SOF
BIL,POR
IST,SOF
DUB,LON
FRA,TEL
LIS,SIN
GEN,MIL
RIG,TAR
BRU,LUX
SOF,TIR
BER,POZ
SOF,THE
BUC,CHI
BRU,PAR
CHI,KIE
AMS,BRU
ATH,THE
COR,DUB
FRA,GEN
COP,HEL
BEL,ZAG
MAD,MAR
AMS,FRA
BUC,BUD
POD,ZAG
COP,REY
BEL,SKO
OSL,STO
LIS,MAD
MIL,VIE
BER,COP
BRA,BUD
IST,THE
KIE,POZ
MIL,TIR
BUD,ZAG
FRA,LUX
BIL,MAD
POZ,PRA
MAR,NIC
MAR,MIL
LJU,MIL
KAU,POZ
SKO,SOF
FRA,PRA
AMS,HAM
AMS,LON
MAR,VAL
COP,OSL
COR,PAR
ATH,NIC
