Id,Label,Latitude,Longitude
AMS,Amsterdam,52.3676,4.9041
ATH,Athens,37.9838,23.7275
BEL,Belgrade,44.7866,20.4489
BER,Berlin,52.5200,13.4050
BIL,Bilbao,43.2630,-2.9350
BRA,Bratislava,48.1486,17.1077
BRU,Brussels,50.8503,4.3517
BUC,Bucharest,44.4268,26.1025
COP,Copenhagen,55.6761,12.5683
COR,Cork,51.8985,-8.4756
DUB,Dublin,53.3498,-6.2603
FRA,Frankfurt,50.1109,8.6821
GEN,Geneva,46.2044,6.1432
HAM,Hamburg,53.5488,9.9872
HEL,Helsinki,60.1699,24.9384
IST,Istanbul,41.0082,28.9784
KAU,Kaunas,54.8985,23.9036
KIE,Kyiv,50.4501,30.5234
LIS,Lisbon,38.7223,-9.1393
LJU,Ljubljana,46.0569,14.5058
LON,London,51.5074,-0.1278
LUX,Luxembourg,49.6116,6.1319
MAD,Madrid,40.4168,-3.7038
MAR,Marseille,43.2965,5.3698
MIL,Milan,45.4642,9.1900
NIC,Nicosia,35.1856,33.3823
OSL,Oslo,59.9139,10.7522
PAR,Paris,48.8566,2.3522
POD,Podgorica,42.4304,19.2594
POR,Porto,41.1579,-8.6291
POZ,Poznań,52.4064,16.9252
PRA,Prague,50.0755,14.4378
RIG,Riga,56.9496,24.1052
SIN,Sines,37.9562,-8.8698
SKO,Skopje,41.9973,21.4280
SOF,Sofia,42.6977,23.3219
STO,Stockholm,59.3293,18.0686
TAR,Tartu,58.3776,26.7290
THE,Thessaloniki,40.6401,22.9444
TIR,Tirana,41.3275,19.8187
VIE,Vienna,48.2082,16.3738
BUD,Budapest,47.4979,19.0402
ZAG,Zagreb,45.8150,15.9819
