Source,Target,VConn
ARB,ATL,2
ARB,BOU,3
ARB,CMI,3
ARB,CPK,3
ARB,HOU,3
ARB,ITH,3
ARB,LNK,2
ARB,PAO,3
ARB,PIT,3
ARB,PRI,3
ARB,SAN,3
ARB,SEA,3
ARB,SLC,3
ATL,ARB,2
ATL,BOU,2
ATL,CMI,2
ATL,CPK,2
ATL,HOU,2
ATL,ITH,2
ATL,LNK,2
ATL,PAO,2
ATL,PIT,2
ATL,PRI,2
ATL,SAN,2
ATL,SEA,2
ATL,SLC,2
BOU,ARB,3
BOU,ATL,2
BOU,CMI,3
BOU,CPK,3
BOU,HOU,3
BOU,ITH,3
BOU,LNK,2
BOU,PAO,3
BOU,PIT,3
BOU,PRI,3
BOU,SAN,3
BOU,SEA,3
BOU,SLC,3
CMI,ARB,3
CMI,ATL,2
CMI,BOU,3
CMI,CPK,3
CMI,HOU,3
CMI,ITH,3
CMI,LNK,2
CMI,PAO,3
CMI,PIT,3
CMI,PRI,3
CMI,SAN,3
CMI,SEA,3
CMI,SLC,3
CPK,ARB,3
CPK,ATL,2
CPK,BOU,3
CPK,CMI,3
CPK,HOU,3
CPK,ITH,3
CPK,LNK,2
CPK,PAO,3
CPK,PIT,3
CPK,PRI,3
CPK,SAN,3
CPK,SEA,3
CPK,SLC,3
HOU,ARB,3
HOU,ATL,2
HOU,BOU,3
HOU,CMI,3
HOU,CPK,3
HOU,ITH,3
HOU,LNK,2
HOU,PAO,3
HOU,PIT,4
HOU,PRI,3
HOU,SAN,3
HOU,SEA,3
HOU,SLC,3
ITH,ARB,3
ITH,ATL,2
ITH,BOU,3
ITH,CMI,3
ITH,CPK,3
ITH,HOU,3
ITH,LNK,2
ITH,PAO,3
ITH,PIT,3
ITH,PRI,3
ITH,SAN,3
ITH,SEA,3
ITH,SLC,3
LNK,ARB,2
LNK,ATL,2
LNK,BOU,2
LNK,CMI,2
LNK,CPK,2
LNK,HOU,2
LNK,ITH,2
LNK,PAO,2
LNK,PIT,2
LNK,PRI,2
LNK,SAN,2
LNK,SEA,2
LNK,SLC,2
PAO,ARB,3
PAO,ATL,2
PAO,BOU,3
PAO,CMI,3
PAO,CPK,3
PAO,HOU,3
PAO,ITH,3
PAO,LNK,2
PAO,PIT,3
PAO,PRI,3
PAO,SAN,3
PAO,SEA,3
PAO,SLC,3
PIT,ARB,3
PIT,ATL,2
PIT,BOU,3
PIT,CMI,3
PIT,CPK,3
PIT,HOU,4
PIT,ITH,3
PIT,LNK,2
PIT,PAO,3
PIT,PRI,3
PIT,SAN,3
PIT,SEA,3
PIT,SLC,3
PRI,ARB,3
PRI,ATL,2
PRI,BOU,3
PRI,CMI,3
PRI,CPK,3
PRI,HOU,3
PRI,ITH,3
PRI,LNK,2
PRI,PAO,3
PRI,PIT,3
PRI,SAN,3
PRI,SEA,3
PRI,SLC,3
SAN,ARB,3
SAN,ATL,2
SAN,BOU,3
SAN,CMI,3
SAN,CPK,3
SAN,HOU,3
SAN,ITH,3
SAN,LNK,2
SAN,PAO,3
SAN,PIT,3
SAN,PRI,3
SAN,SEA,3
SAN,SLC,3
SEA,ARB,3
SEA,ATL,2
SEA,BOU,3
SEA,CMI,3
SEA,CPK,3
SEA,HOU,3
SEA,ITH,3
SEA,LNK,2
SEA,PAO,3
SEA,PIT,3
SEA,PRI,3
SEA,SAN,3
SEA,SLC,3
SLC,ARB,3
SLC,ATL,2
SLC,BOU,3
SLC,CMI,3
SLC,CPK,3
SLC,HOU,3
SLC,ITH,3
SLC,LNK,2
SLC,PAO,3
SLC,PIT,3
SLC,PRI,3
SLC,SAN,3
SLC,SEA,3
