Source,Target,Distance_km
SEA,SLC,1126.3
PAO,SEA,1130.3
PAO,SAN,693.8
PAO,PIT,3625.8
PAO,SLC,957.8
PAO,PRI,4071.9
SAN,SEA,1712.1
SAN,SLC,1009.8
HOU,SEA,3040.5
HOU,PAO,2611.9
HOU,SAN,2093.9
HOU,PIT,1829.9
HOU,LNK,1235.0
HOU,SLC,1929.7
HOU,ITH,2196.1
HOU,PRI,2213.9
ATL,SEA,3505.7
ATL,PAO,3415.5
ATL,SAN,3037.5
ATL,HOU,1128.3
ATL,PIT,839.6
ATL,CMI,786.4
ATL,LNK,1341.0
ATL,BOU,1977.9
ATL,SLC,2543.7
ATL,ITH,1186.6
ATL,PRI,1131.9
ATL,CPK,885.2
PIT,SEA,3432.2
PIT,SAN,3401.0
PIT,SLC,2678.0
PIT,PRI,451.3
CMI,SEA,2831.2
CMI,PAO,2935.7
CMI,SAN,2701.4
CMI,HOU,1321.0
CMI,PIT,700.3
CMI,LNK,719.5
CMI,SLC,1996.5
CMI,ITH,1013.7
CMI,PRI,1151.6
CMI,CPK,976.7
LNK,SEA,2165.8
LNK,PAO,2218.2
LNK,SAN,2025.9
LNK,PIT,1408.4
LNK,SLC,1277.1
LNK,PRI,1856.6
BOU,SEA,1603.1
BOU,PAO,1488.9
BOU,SAN,1336.7
BOU,HOU,1452.5
BOU,PIT,2138.9
BOU,CMI,1446.8
BOU,LNK,730.5
BOU,SLC,566.7
BOU,ITH,2409.3
BOU,PRI,2586.9
BOU,CPK,2423.3
ARB,SEA,3061.3
ARB,PAO,3293.0
ARB,SAN,3110.3
ARB,HOU,1737.5
ARB,ATL,950.4
ARB,PIT,373.7
ARB,CMI,446.8
ARB,LNK,1089.7
ARB,BOU,1815.1
ARB,SLC,2338.8
ARB,ITH,595.0
ARB,PRI,787.1
ARB,CPK,680.6
ITH,SEA,3593.8
ITH,PAO,3883.3
ITH,SAN,3703.6
ITH,PIT,366.5
ITH,LNK,1684.7
ITH,SLC,2927.2
ITH,PRI,277.8
PRI,SEA,3834.9
PRI,SAN,3852.0
PRI,SLC,3121.0
CPK,SEA,3739.1
CPK,PAO,3912.1
CPK,SAN,3661.2
CPK,HOU,1972.8
CPK,PIT,307.3
CPK,LNK,1694.5
CPK,SLC,2969.5
CPK,ITH,385.7
CPK,PRI,246.7
